iteration,total_reward,policy_loss,idm_loss
1 , -22.029836850971538 , 0.09002128 , 0.056402985
2 , -78.12702584458172 , 0.056544136 , 0.05313087
3 , -126.3084121743776 , 0.05166112 , 0.11189906
4 , -122.2893905924037 , 0.06666391 , 0.080345124
5 , -110.16125054005285 , 0.075182 , 0.11922832
6 , -130.60433955422045 , 0.056790356 , 0.06041987
7 , -46.115746728726286 , 0.06802042 , 0.10799718
8 , -142.25228533180928 , 0.047906585 , 0.06914372
9 , -125.57757701566442 , 0.052157503 , 0.12361911
10 , -120.58154385672758 , 0.058171533 , 0.12161606
11 , -120.48212364917933 , 0.055948365 , 0.14898147
12 , -121.06034856865617 , 0.050355136 , 0.022072643
13 , -47.154607318555996 , 0.080722034 , 0.08547697
14 , 181.98212632523177 , 0.038048204 , 0.08313443
15 , -60.57891336710626 , 0.049193986 , 0.08984576
16 , -83.41877023852244 , 0.062197953 , 0.07452077
17 , -76.00022683274373 , 0.048820607 , 0.065178335
18 , -15.520285769389947 , 0.052705467 , 0.08717604
19 , -98.83513843553264 , 0.032607164 , 0.09851721
20 , -89.24784592216525 , 0.043574173 , 0.06999571
21 , -30.603776533378237 , 0.03702623 , 0.0842695
22 , -117.57884859857771 , 0.055329718 , 0.11855586
23 , -61.84935575762821 , 0.030440668 , 0.058418557
24 , -79.26883616718527 , 0.04244101 , 0.07823012
25 , 95.32258061054361 , 0.041034997 , 0.08703996
26 , -88.25904939931942 , 0.041238654 , 0.09102385
27 , -87.56019693017502 , 0.0358194 , 0.12019667
28 , -75.64246195844316 , 0.04373236 , 0.052901015
29 , -53.73471103364787 , 0.06540143 , 0.072988324
30 , -29.329116300291005 , 0.05462924 , 0.0893017
