iteration,total_reward,policy_loss,idm_loss
1 , 10.000000 , 0.693812 , 0.001208
2 , 8.000000 , 0.695298 , 0.001321
3 , 10.000000 , 0.693379 , 0.001636
4 , 9.000000 , 0.691517 , 0.001379
5 , 8.000000 , 0.693708 , 0.001718
6 , 9.000000 , 0.693974 , 0.000228
7 , 10.000000 , 0.694062 , 0.000270
8 , 8.000000 , 0.692343 , 0.000193
9 , 10.000000 , 0.693706 , 0.000217
10 , 9.000000 , 0.690989 , 0.000274
11 , 10.000000 , 0.692620 , 0.000075
12 , 10.000000 , 0.694276 , 0.000085
13 , 8.000000 , 0.690712 , 0.000071
14 , 10.000000 , 0.692784 , 0.000094
15 , 8.000000 , 0.690097 , 0.000082
16 , 10.000000 , 0.692267 , 0.000040
17 , 10.000000 , 0.692842 , 0.000042
18 , 10.000000 , 0.693104 , 0.000033
19 , 12.000000 , 0.690479 , 0.000062
20 , 15.000000 , 0.691796 , 0.000074
21 , 12.000000 , 0.691193 , 0.000048
22 , 10.000000 , 0.690835 , 0.000047
23 , 16.000000 , 0.689431 , 0.000046
24 , 22.000000 , 0.689783 , 0.000044
25 , 45.000000 , 0.685904 , 0.000041
26 , 42.000000 , 0.679484 , 0.000021
27 , 58.000000 , 0.677317 , 0.000021
28 , 32.000000 , 0.667623 , 0.000020
29 , 62.000000 , 0.662038 , 0.000020
30 , 85.000000 , 0.651049 , 0.000020
31 , 77.000000 , 0.639079 , 0.000011
32 , 76.000000 , 0.635911 , 0.000011
33 , 56.000000 , 0.619536 , 0.000011
34 , 200.000000 , 0.606981 , 0.000011
35 , 85.000000 , 0.575316 , 0.000011
36 , 200.000000 , 0.557904 , 0.000006
37 , 76.000000 , 0.557591 , 0.000006
38 , 200.000000 , 0.537062 , 0.000006
39 , 200.000000 , 0.515993 , 0.000006
