iteration,total_reward,policy_loss,idm_loss
1 , 52.000000 , 0.956388 , 0.000004
2 , 85.000000 , 0.962503 , 0.000009
3 , 48.000000 , 0.957532 , 0.000022
4 , 109.000000 , 0.958702 , 0.000003
5 , 48.000000 , 0.958418 , 0.000025
6 , 73.000000 , 0.975533 , 0.000000
7 , 50.000000 , 0.981128 , 0.000011
8 , 52.000000 , 0.974705 , 0.000000
9 , 109.000000 , 0.976555 , 0.000015
10 , 63.000000 , 0.972100 , 0.000011
11 , 61.000000 , 0.969754 , 0.000015
12 , 115.000000 , 0.917031 , 0.000011
13 , 395.000000 , 0.828660 , 0.000014
14 , 500.000000 , 0.821657 , 0.000014
15 , 500.000000 , 0.821401 , 0.000031
16 , 500.000000 , 0.820681 , 0.000000
