iteration,total_reward,policy_loss,idm_loss
1 , 8.0 , 0.6936622 , 0.00013882881
2 , 10.0 , 0.6937225 , 3.546061e-05
3 , 9.0 , 0.6938139 , 2.1658725e-05
4 , 10.0 , 0.6937284 , 1.1670113e-05
5 , 9.0 , 0.6937562 , 3.7312009e-06
6 , 9.0 , 0.6939391 , 2.2291956e-06
7 , 10.0 , 0.69282573 , 2.9921334e-06
8 , 10.0 , 0.6940022 , 7.8677897e-07
9 , 10.0 , 0.6942269 , 8.5830544e-07
10 , 10.0 , 0.6941234 , 3.5762736e-07
11 , 8.0 , 0.6931971 , 2.2649745e-07
12 , 9.0 , 0.6957658 , 2.1457663e-07
13 , 10.0 , 0.7016622 , 8.344649e-08
14 , 10.0 , 0.7005115 , 3.576278e-08
15 , 8.0 , 0.7011713 , 4.768371e-08
