iteration,total_reward,policy_loss,idm_loss
1 , -111.711903 , 0.381300 , 0.390299
2 , -111.906607 , 0.404572 , 0.382818
3 , -111.998806 , 0.369507 , 0.390983
4 , -111.955104 , 0.387174 , 0.384449
5 , -111.969290 , 0.380829 , 0.390122
6 , -111.800466 , 0.390872 , 0.392179
7 , -111.766737 , 0.385734 , 0.384343
8 , -111.603517 , 0.384444 , 0.390955
9 , -111.826194 , 0.382484 , 0.384498
10 , -112.182126 , 0.377576 , 0.386127
11 , -111.818110 , 0.394380 , 0.383068
12 , -111.814780 , 0.381263 , 0.392264
