iteration,total_reward,policy_loss,idm_loss
1 , 9.000000 , 0.692499 , 0.003512
2 , 10.000000 , 0.692181 , 0.003502
3 , 9.000000 , 0.692560 , 0.003472
4 , 9.000000 , 0.692326 , 0.003496
5 , 10.000000 , 0.694143 , 0.003059
6 , 9.000000 , 0.694333 , 0.000618
7 , 9.000000 , 0.692376 , 0.000555
8 , 13.000000 , 0.692194 , 0.000669
9 , 57.000000 , 0.689892 , 0.000667
10 , 24.000000 , 0.689755 , 0.000645
11 , 9.000000 , 0.694147 , 0.000164
12 , 9.000000 , 0.699967 , 0.000166
13 , 9.000000 , 0.690308 , 0.000220
14 , 28.000000 , 0.687785 , 0.000228
15 , 61.000000 , 0.686172 , 0.000213
16 , 128.000000 , 0.689895 , 0.000102
17 , 48.000000 , 0.693567 , 0.000093
18 , 121.000000 , 0.687883 , 0.000094
19 , 200.000000 , 0.684261 , 0.000100
20 , 200.000000 , 0.690780 , 0.000100
