iteration,total_reward,policy_loss,idm_loss
1 , -2.513165 , 0.025809 , 0.027017
2 , -3.634555 , 0.036881 , 0.038690
3 , -12.602321 , 0.131966 , 0.131930
4 , -22.888583 , 0.243929 , 0.239587
5 , -22.244872 , 0.227290 , 0.233585
6 , -11.168847 , 0.092227 , 0.099496
7 , 90.339054 , 0.139944 , 0.133351
8 , 96.565089 , 0.062649 , 0.034522
9 , 97.104603 , 0.102385 , 0.030331
10 , 94.829179 , 0.143007 , 0.030344
11 , 97.007865 , 0.272747 , 0.068737
12 , 93.623789 , 0.278545 , 0.135249
13 , 93.931931 , 0.225943 , 0.037347
14 , 94.995244 , 0.316299 , 0.095888
15 , 93.730727 , 0.218095 , 0.151691
16 , 94.002858 , 0.114092 , 0.000862
17 , 92.028538 , 0.128913 , 0.001649
