iteration,total_reward,policy_loss,idm_loss
1 , -141.393170 , 2.418581 , 0.366473
2 , -596.235494 , 1.500402 , 0.458959
3 , -150.953924 , 2.409635 , 0.472983
4 , -152.940232 , 1.462804 , 0.177163
5 , -440.596460 , 1.421510 , 0.273892
6 , -29.345115 , 1.459586 , 0.285613
7 , -233.191234 , 1.039278 , 0.077546
8 , -211.709561 , 1.812563 , 0.084576
9 , -305.164416 , 1.226881 , 0.144739
10 , -260.495730 , 1.770079 , 0.089704
11 , -113.261824 , 2.364546 , 0.198934
12 , -270.410750 , 1.583921 , 0.111836
13 , -610.887285 , 2.065501 , 0.118659
14 , -351.119126 , 2.172586 , 0.107421
15 , -352.272523 , 1.420532 , 0.175912
16 , -283.083315 , 1.533171 , 0.130181
17 , -34.626999 , 1.578631 , 0.263140
18 , -96.136098 , 1.326758 , 0.047021
