iteration,total_reward,policy_loss,idm_loss
1 , -262.471886 , 0.125252 , 0.104737
2 , -166.760664 , 0.362202 , 0.230753
3 , -169.702625 , 0.389946 , 0.236416
4 , -161.688626 , 0.427802 , 0.099311
5 , -158.156901 , 0.374441 , 0.135708
6 , -28.983836 , 0.382384 , 0.117849
7 , -43.933016 , 0.409766 , 0.187442
8 , -211.528338 , 0.359266 , 0.214012
9 , -23.338594 , 0.224548 , 0.106938
10 , 21.832269 , 0.143882 , 0.142723
11 , -25.943178 , 0.141840 , 0.104353
12 , -15.523311 , 0.113182 , 0.131652
13 , -14.505855 , 0.318180 , 0.166094
14 , 19.105693 , 0.194646 , 0.240409
15 , 16.239429 , 0.168815 , 0.137995
16 , 6.314987 , 0.095610 , 0.138114
17 , -333.394636 , 0.168820 , 0.072354
18 , -411.923360 , 0.152097 , 0.166624
19 , 31.368653 , 0.340576 , 0.123965
20 , -453.058844 , 0.181145 , 0.135016
21 , 265.270338 , 0.219037 , 0.094883
22 , 24.691688 , 0.190669 , 0.075485
23 , 225.841997 , 0.334596 , 0.117801
