iteration,total_reward,policy_loss,idm_loss
1 , 9.000000 , 0.693275 , 0.001271
2 , 10.000000 , 0.690699 , 0.001222
3 , 9.000000 , 0.693609 , 0.001483
4 , 9.000000 , 0.692798 , 0.004453
5 , 9.000000 , 0.692334 , 0.005073
6 , 19.000000 , 0.690734 , 0.004426
7 , 24.000000 , 0.684670 , 0.004148
8 , 18.000000 , 0.682670 , 0.004205
9 , 85.000000 , 0.685660 , 0.004161
10 , 8.000000 , 0.691436 , 0.003121
11 , 8.000000 , 0.691514 , 0.002794
12 , 10.000000 , 0.689030 , 0.002769
13 , 10.000000 , 0.690551 , 0.003766
14 , 11.000000 , 0.693973 , 0.004758
15 , 10.000000 , 0.705948 , 0.004816
16 , 10.000000 , 0.700739 , 0.004788
17 , 11.000000 , 0.694979 , 0.004742
18 , 200.000000 , 0.686188 , 0.004175
19 , 151.000000 , 0.707621 , 0.003701
20 , 200.000000 , 0.711905 , 0.004097
21 , 200.000000 , 0.725970 , 0.004085
