iteration,total_reward,policy_loss,fdm_loss
1 , 8.000000 , 0.696285 , 1.108868
2 , 9.000000 , 0.696029 , 0.665606
3 , 12.000000 , 0.690837 , 0.279852
4 , 23.000000 , 0.684775 , 0.091502
5 , 47.000000 , 0.684119 , 0.016136
6 , 11.000000 , 0.687031 , 0.373972
7 , 11.000000 , 0.681815 , 0.383990
8 , 17.000000 , 0.686200 , 0.330522
9 , 98.000000 , 0.688419 , 0.284507
10 , 200.000000 , 0.686825 , 0.043513
11 , 200.000000 , 0.689489 , 0.034945
12 , 200.000000 , 0.689982 , 0.033960
13 , 200.000000 , 0.686243 , 0.314606
