iteration,total_reward,policy_loss,idm_loss
1 , -323.150801 , 0.844226 , 1.353883
2 , -1002.372175 , 0.911627 , 1.332196
3 , -149.297959 , 1.938401 , 1.360824
4 , -319.814743 , 1.303464 , 1.357368
5 , -313.721774 , 1.961350 , 1.324066
6 , -527.200160 , 2.285246 , 1.361881
7 , -567.780918 , 1.587482 , 1.338292
8 , -130.238263 , 2.532895 , 1.359087
9 , 39.356212 , 1.952500 , 1.350225
10 , -41.283099 , 2.016267 , 1.352408
11 , -67.431128 , 1.828245 , 1.359915
12 , -110.849089 , 2.107780 , 1.359088
13 , 47.965739 , 2.503497 , 1.350019
14 , -96.921344 , 1.890331 , 1.340316
15 , -583.128586 , 2.318538 , 1.356949
16 , -39.287374 , 2.365656 , 1.366821
17 , 69.938415 , 2.408698 , 1.380557
18 , 22.963663 , 2.229208 , 1.364892
