iteration,total_reward,policy_loss,fdm_loss
1 , -698.932306 , 1.443210 , 1.224626
2 , -415.666444 , 1.793150 , 0.112210
3 , -286.531939 , 3.899656 , 0.294979
4 , 16.368532 , 2.965169 , 0.161405
5 , -139.009667 , 1.817306 , 0.184661
6 , 37.759834 , 2.255825 , 0.169852
7 , 53.138318 , 1.732613 , 0.151714
8 , -175.721524 , 2.161287 , 0.104158
9 , -212.555649 , 2.240738 , 0.132729
10 , 252.332178 , 2.296263 , 0.105470
11 , 13.396356 , 2.266647 , 0.143621
12 , -187.352879 , 2.100549 , 0.100579
13 , 265.873114 , 2.053934 , 0.173421
14 , 23.410587 , 2.175462 , 0.120791
15 , -184.008220 , 1.979918 , 0.108493
16 , -253.699277 , 2.144524 , 0.162484
17 , 195.539631 , 1.962375 , 0.210522
18 , -79.402718 , 2.164880 , 0.112775
19 , -152.053413 , 2.048737 , 0.296991
20 , -84.608844 , 2.200308 , 0.245669
21 , 259.988056 , 2.878757 , 0.174544
22 , 37.188291 , 2.221435 , 0.089441
23 , -93.901591 , 2.304269 , 0.151257
24 , -105.551944 , 1.805038 , 0.159643
25 , 258.098612 , 2.190078 , 0.232467
26 , 23.876080 , 2.056867 , 0.130231
27 , -80.216170 , 2.012942 , 0.127990
28 , -20.849294 , 2.136457 , 0.089904
29 , 258.464363 , 1.804885 , 0.143668
