iteration,average_reward,policy_loss,fdm_loss
1 , -229.828753 , 2.364366 , 0.406827
2 , -301.385316 , 2.275422 , 0.213372
3 , -144.913621 , 2.622497 , 0.401549
4 , -185.928324 , 2.182850 , 0.323268
5 , -125.513474 , 2.086662 , 0.161827
6 , 5.052242 , 2.566069 , 0.153514
7 , 49.405012 , 1.540979 , 0.111901
8 , 106.364048 , 2.062624 , 0.136615
9 , 234.844752 , 2.089314 , 0.128051
10 , 218.185927 , 1.729410 , 0.160778
11 , 237.370888 , 1.737391 , 0.127020
12 , 239.661146 , 1.931635 , 0.115523
13 , 234.382923 , 1.822335 , 0.132291
14 , 195.065057 , 1.845294 , 0.119995
15 , 238.263388 , 2.162114 , 0.121733
16 , 227.620475 , 2.224957 , 0.133880
17 , 235.944178 , 2.009842 , 0.128896
18 , 249.662333 , 1.883088 , 0.134954
19 , 248.045407 , 1.784920 , 0.157028
20 , 237.923092 , 1.906873 , 0.109036
21 , 242.249779 , 1.873732 , 0.105581
22 , 245.539037 , 1.751051 , 0.102232
