iteration,total_reward,policy_loss,idm_loss
1 , -291.002583 , 0.081929 , 0.067729
2 , -66.693082 , 0.090867 , 0.156628
3 , -278.852116 , 0.124740 , 0.104940
4 , -39.645195 , 0.065989 , 0.073418
5 , 258.950135 , 0.105997 , 0.081716
6 , -173.078205 , 0.193187 , 0.053851
7 , -257.036073 , 0.195099 , 0.039346
8 , -84.370563 , 0.153880 , 0.128865
9 , -194.532404 , 0.091751 , 0.090310
10 , -218.189362 , 0.142083 , 0.137866
11 , -166.079190 , 0.148636 , 0.146898
12 , -80.366403 , 0.127002 , 0.135188
13 , -246.946593 , 0.195852 , 0.122349
14 , -51.772091 , 0.107072 , 0.105370
15 , -100.127952 , 0.100964 , 0.101499
16 , -213.294337 , 0.109365 , 0.093446
17 , -186.156084 , 0.132621 , 0.169124
18 , -307.909525 , 0.139052 , 0.146348
19 , -27.459691 , 0.149964 , 0.147313
20 , -179.905625 , 0.183411 , 0.243189
21 , 12.219305 , 0.175800 , 0.197128
22 , 7.815488 , 0.153973 , 0.120852
