
iteration: 1, total_reward: -291.00258260168044, policy_loss: 0.081929, idm_loss: 0.067729


iteration: 2, total_reward: -66.6930820329184, policy_loss: 0.090867, idm_loss: 0.156628


iteration: 3, total_reward: -278.85211577879966, policy_loss: 0.124740, idm_loss: 0.104940


iteration: 4, total_reward: -39.645195326105444, policy_loss: 0.065989, idm_loss: 0.073418


iteration: 5, total_reward: 258.9501346687697, policy_loss: 0.105997, idm_loss: 0.081716


iteration: 6, total_reward: -173.07820534005953, policy_loss: 0.193187, idm_loss: 0.053851


iteration: 7, total_reward: -257.0360733975332, policy_loss: 0.195099, idm_loss: 0.039346


iteration: 8, total_reward: -84.37056252274395, policy_loss: 0.153880, idm_loss: 0.128865


iteration: 9, total_reward: -194.53240373817667, policy_loss: 0.091751, idm_loss: 0.090310


iteration: 10, total_reward: -218.18936151577918, policy_loss: 0.142083, idm_loss: 0.137866


iteration: 11, total_reward: -166.0791900423953, policy_loss: 0.148636, idm_loss: 0.146898


iteration: 12, total_reward: -80.36640265689351, policy_loss: 0.127002, idm_loss: 0.135188


iteration: 13, total_reward: -246.94659264351156, policy_loss: 0.195852, idm_loss: 0.122349


iteration: 14, total_reward: -51.77209146255587, policy_loss: 0.107072, idm_loss: 0.105370


iteration: 15, total_reward: -100.12795239813566, policy_loss: 0.100964, idm_loss: 0.101499


iteration: 16, total_reward: -213.2943372357126, policy_loss: 0.109365, idm_loss: 0.093446


iteration: 17, total_reward: -186.15608422736167, policy_loss: 0.132621, idm_loss: 0.169124


iteration: 18, total_reward: -307.9095250140299, policy_loss: 0.139052, idm_loss: 0.146348


iteration: 19, total_reward: -27.45969076975416, policy_loss: 0.149964, idm_loss: 0.147313


iteration: 20, total_reward: -179.90562489247174, policy_loss: 0.183411, idm_loss: 0.243189


iteration: 21, total_reward: 12.219304559486046, policy_loss: 0.175800, idm_loss: 0.197128


iteration: 22, total_reward: 7.815488063766342, policy_loss: 0.153973, idm_loss: 0.120852

