iteration,total_reward,policy_loss,fdm_loss
1 , -6.132599 , 0.281941 , 0.448168
2 , -154.992847 , 0.247209 , 0.177309
3 , 53.687417 , 0.240490 , 0.185827
4 , 238.939586 , 0.332199 , 0.233576
5 , 300.799320 , 0.289205 , 0.074147
6 , 51.289627 , 0.267014 , 0.182766
7 , -169.181676 , 0.374133 , 0.137407
8 , -88.918981 , 0.209151 , 0.225551
9 , -162.515071 , 0.239689 , 0.252832
10 , -126.821244 , 0.222373 , 0.204929
11 , -227.349555 , 0.229588 , 0.204844
12 , -200.211801 , 0.205461 , 0.225262
13 , -50.033504 , 0.243241 , 0.146533
14 , -197.920714 , 0.226998 , 0.236189
15 , -189.521606 , 0.215908 , 0.261301
16 , -148.175063 , 0.251366 , 0.133193
17 , -30.410247 , 0.229588 , 0.126243
18 , -33.241687 , 0.241376 , 0.112087
19 , -86.516952 , 0.214785 , 0.116984
20 , -68.428448 , 0.208187 , 0.131778
21 , -178.450694 , 0.199305 , 0.192417
22 , 16.175343 , 0.287036 , 0.146847
23 , -11.484756 , 0.254850 , 0.202169
24 , -11.567393 , 0.186535 , 0.185172
25 , -62.558754 , 0.214396 , 0.138632
26 , -90.443331 , 0.276040 , 0.124354
27 , -150.297946 , 0.285341 , 0.112862
28 , 263.787520 , 0.237152 , 0.161524
29 , 228.264425 , 0.198846 , 0.152604
30 , 144.330067 , 0.203680 , 0.148605
31 , -206.564764 , 0.241257 , 0.177650
32 , 43.195342 , 0.237526 , 0.158078
33 , -139.998454 , 0.278610 , 0.102720
34 , -61.456624 , 0.226180 , 0.182615
35 , -130.023546 , 0.232760 , 0.110551
36 , -2.921195 , 0.258765 , 0.170707
37 , 197.307535 , 0.246744 , 0.084784
38 , -62.644005 , 0.235712 , 0.193607
39 , 5.044721 , 0.250735 , 0.168692
40 , 258.480923 , 0.287033 , 0.188510
