iteration,average_reward,policy_loss,fdm_loss
1 , -328.903672 , 0.840944 , 0.018307
2 , -255.260191 , 0.853437 , 0.000611
3 , -229.944560 , 0.726925 , 0.005930
4 , -245.183211 , 0.762217 , 0.001363
5 , -239.207101 , 0.750482 , 0.002376
6 , -165.988096 , 0.714195 , 0.005226
7 , -539.358380 , 0.485621 , 0.003829
8 , -195.268955 , 0.527982 , 0.008668
9 , -246.450113 , 0.504752 , 0.002431
10 , -193.265379 , 0.550557 , 0.000506
11 , -229.452488 , 0.588359 , 0.008533
12 , -260.899703 , 0.606282 , 0.000672
13 , -209.582404 , 0.714574 , 0.002521
14 , -181.410414 , 0.699179 , 0.003236
