iteration,total_reward,policy_loss,idm_loss
1 , 10.000000 , 0.692912 , 0.002733
2 , 11.000000 , 0.691602 , 0.003109
3 , 11.000000 , 0.693767 , 0.003169
4 , 9.000000 , 0.697404 , 0.002748
5 , 11.000000 , 0.702363 , 0.002885
6 , 10.000000 , 0.718456 , 0.002966
7 , 11.000000 , 0.725651 , 0.002609
8 , 10.000000 , 0.787798 , 0.002895
9 , 10.000000 , 0.841787 , 0.002664
10 , 10.000000 , 0.884531 , 0.002665
11 , 10.000000 , 0.910387 , 0.003011
12 , 10.000000 , 1.002782 , 0.002995
13 , 10.000000 , 0.987241 , 0.003041
14 , 10.000000 , 0.974749 , 0.002967
15 , 10.000000 , 0.987725 , 0.003045
16 , 10.000000 , 0.987244 , 0.003074
17 , 8.000000 , 1.063907 , 0.002826
