iteration,total_reward,policy_loss,idm_loss
1 , -473.003751 , 0.244113 , 0.098583
2 , -640.659646 , 0.305674 , 0.178322
3 , -70.956278 , 0.221607 , 0.073538
4 , -310.551892 , 0.194836 , 0.071453
5 , -130.287410 , 0.215568 , 0.112180
6 , -241.835116 , 0.375571 , 0.125041
7 , -431.238037 , 0.261052 , 0.099062
8 , -240.907241 , 0.208605 , 0.115338
9 , -326.522515 , 0.171043 , 0.065773
10 , -496.795355 , 0.230888 , 0.097569
11 , -277.599141 , 0.217459 , 0.121500
12 , -210.514733 , 0.173187 , 0.045029
13 , -204.341857 , 0.157184 , 0.071604
14 , -506.878549 , 0.171893 , 0.084014
15 , -248.939384 , 0.276070 , 0.074483
16 , -284.009541 , 0.389573 , 0.061335
17 , -242.732599 , 0.328957 , 0.078516
18 , -203.007158 , 0.324445 , 0.073772
19 , -322.429847 , 0.371693 , 0.091569
20 , -210.206481 , 0.424952 , 0.160731
