iteration,total_reward,policy_loss,idm_loss
1 , -200.000000 , 1.032925 , 1.085840
2 , -200.000000 , 0.797825 , 1.085317
3 , -200.000000 , 0.668922 , 1.073393
4 , -200.000000 , 0.712305 , 1.085375
5 , -200.000000 , 0.653340 , 1.073549
6 , -200.000000 , 1.105645 , 1.120873
7 , -200.000000 , 1.217790 , 1.104985
8 , -200.000000 , 1.418149 , 1.127167
9 , -200.000000 , 1.381415 , 1.130852
10 , -200.000000 , 1.293711 , 1.113566
11 , -200.000000 , 0.591981 , 0.999770
12 , -200.000000 , 0.659835 , 0.964438
13 , -200.000000 , 0.580513 , 0.988120
