iteration,total_reward,policy_loss,idm_loss
1 , 8.000000 , 0.693579 , 0.000660
2 , 9.000000 , 0.693579 , 0.000585
3 , 9.000000 , 0.694156 , 0.000692
4 , 9.000000 , 0.692622 , 0.000630
5 , 10.000000 , 0.696839 , 0.000581
6 , 10.000000 , 0.693979 , 0.000101
7 , 9.000000 , 0.696105 , 0.000082
8 , 9.000000 , 0.690304 , 0.000075
9 , 12.000000 , 0.686410 , 0.000082
10 , 11.000000 , 0.669952 , 0.000104
11 , 14.000000 , 0.672186 , 0.000025
12 , 49.000000 , 0.691043 , 0.000022
13 , 200.000000 , 0.686857 , 0.000025
