iteration,total_reward,policy_loss,idm_loss
1 , 91.000000 , 0.962990 , 0.000022
2 , 39.000000 , 0.972100 , 0.000146
3 , 27.000000 , 1.044065 , 0.000866
4 , 35.000000 , 0.984756 , 0.000278
5 , 38.000000 , 0.959540 , 0.000112
6 , 58.000000 , 0.967838 , 0.000175
7 , 68.000000 , 0.965068 , 0.000067
8 , 59.000000 , 0.945384 , 0.000557
9 , 51.000000 , 0.982024 , 0.001408
10 , 131.000000 , 0.946877 , 0.000055
11 , 72.000000 , 0.942219 , 0.000047
12 , 110.000000 , 0.948601 , 0.000002
13 , 122.000000 , 0.930721 , 0.000048
14 , 163.000000 , 0.944561 , 0.000005
15 , 312.000000 , 0.920218 , 0.000001
16 , 112.000000 , 0.895625 , 0.000045
17 , 171.000000 , 0.938117 , 0.000008
18 , 134.000000 , 0.900021 , 0.000046
