Collecting idm training data 1000
Collecting idm training data 2000
Collecting idm training data 3000
Collecting idm training data 4000
Collecting idm training data 5000
Collecting idm training data 6000
Collecting idm training data 7000
Collecting idm training data 8000
Collecting idm training data 9000
Collecting idm training data 10000
Collecting idm training data 11000
Collecting idm training data 12000
IDM train: iteration: 500, idm_loss: 0.000342
IDM train: iteration: 1000, idm_loss: 0.000023
IDM train: iteration: 1500, idm_loss: 0.001183
IDM train: iteration: 2000, idm_loss: 0.000807
IDM train: iteration: 2500, idm_loss: 0.000004
IDM train: iteration: 3000, idm_loss: 0.000521
IDM train: iteration: 3500, idm_loss: 0.000899
IDM train: iteration: 4000, idm_loss: 0.000253
IDM train: iteration: 4500, idm_loss: 0.000267
IDM train: iteration: 5000, idm_loss: 0.000409
IDM train: iteration: 5500, idm_loss: 0.000036
IDM train: iteration: 6000, idm_loss: 0.000882
IDM train: iteration: 6500, idm_loss: 0.000822
IDM train: iteration: 7000, idm_loss: 0.000428
IDM train: iteration: 7500, idm_loss: 0.001811
IDM train: iteration: 8000, idm_loss: 0.002517
IDM train: iteration: 8500, idm_loss: 0.000965
IDM train: iteration: 9000, idm_loss: 0.001002
IDM train: iteration: 9500, idm_loss: 0.002025
IDM train: iteration: 10000, idm_loss: 0.000457
SPM train: iteration: 500, spm_loss: 0.010506
SPM train: iteration: 1000, spm_loss: 0.000196
SPM train: iteration: 1500, spm_loss: 0.000043
SPM train: iteration: 2000, spm_loss: 0.000012
SPM train: iteration: 2500, spm_loss: 0.000006
SPM train: iteration: 3000, spm_loss: 0.000002
SPM train: iteration: 3500, spm_loss: 0.000001
SPM train: iteration: 4000, spm_loss: 0.000002
SPM train: iteration: 4500, spm_loss: 0.000001
SPM train: iteration: 5000, spm_loss: 0.000001
SPM train: iteration: 5500, spm_loss: 0.000001
SPM train: iteration: 6000, spm_loss: 0.000001
SPM train: iteration: 6500, spm_loss: 0.000003
SPM train: iteration: 7000, spm_loss: 0.000005
SPM train: iteration: 7500, spm_loss: 0.000001
SPM train: iteration: 8000, spm_loss: 0.000000
SPM train: iteration: 8500, spm_loss: 0.000001
SPM train: iteration: 9000, spm_loss: 0.000001
SPM train: iteration: 9500, spm_loss: 0.000001
SPM train: iteration: 10000, spm_loss: 0.000000

iteration: 1, total_reward: -3.022097962717321, policy_loss: 0.022060, idm_loss: 0.022930


iteration: 2, total_reward: -13.250322805578932, policy_loss: 0.116362, idm_loss: 0.115478

