iteration,total_reward,policy_loss,idm_loss
1 , -386.913197 , 0.167166 , 0.052641
2 , -296.227815 , 0.177547 , 0.073282
3 , -148.575755 , 0.163027 , 0.060458
4 , -152.489569 , 0.154330 , 0.067793
5 , -176.107917 , 0.132742 , 0.087068
6 , -367.067069 , 0.157743 , 0.041356
7 , -329.009339 , 0.146641 , 0.043953
8 , -129.757937 , 0.146746 , 0.063781
9 , -118.106579 , 0.209081 , 0.086567
10 , -133.793929 , 0.204601 , 0.124726
11 , -137.480875 , 0.186741 , 0.068044
12 , -377.093059 , 0.251045 , 0.126200
13 , -407.815462 , 0.286708 , 0.126284
14 , -101.120548 , 0.250014 , 0.044358
15 , -488.167167 , 0.252421 , 0.282311
16 , -481.478149 , 0.400059 , 0.200800
17 , -126.605896 , 0.319849 , 0.250472
18 , -416.490321 , 0.191814 , 0.057372
19 , -137.343564 , 0.184720 , 0.134105
20 , -52.051120 , 0.213723 , 0.099978
21 , -93.088330 , 0.189886 , 0.088946
22 , -103.654979 , 0.194986 , 0.074088
