iteration,total_reward,policy_loss,idm_loss
1 , 297.03735019014374 , 0.09432966 , 0.012701625
2 , 312.9565950950432 , 0.06798957 , 0.04500051
3 , 260.8546737614253 , 0.0529311 , 0.01158246
4 , 205.95890958416624 , 0.016508894 , 0.002551392
5 , 239.88413274156932 , 0.03726927 , 0.00473974
6 , 348.6356955976468 , 0.028104307 , 0.003348732
7 , 356.3106374171646 , 0.019904269 , 0.0037257965
8 , 925.6945898484664 , 0.027499605 , 0.0025295608
9 , 574.9897895548289 , 0.014963257 , 0.0063926103
10 , 863.388515311476 , 0.02023278 , 0.0025475144
11 , 366.4436882006598 , 0.01293403 , 0.0056398064
12 , 794.7345471129388 , 0.01025321 , 0.00418063
13 , 758.17547275688 , 0.008977963 , 0.0019517448
14 , 521.1812676820334 , 0.011117501 , 0.0019304673
15 , 506.2362821628779 , 0.017869074 , 0.0026134602
16 , 847.7304655542438 , 0.013935044 , 0.0056588636
17 , 387.729298905203 , 0.012232087 , 0.0040896386
18 , 658.5238460079039 , 0.019824535 , 0.003647906
19 , 552.3784601273817 , 0.0064502168 , 0.0011025158
20 , 370.00208874205526 , 0.009792492 , 0.0018187354
21 , 361.81553248612073 , 0.022289138 , 0.0032141004
22 , 379.73033103696815 , 0.008515236 , 0.0036668852
23 , 374.9810641159772 , 0.021457693 , 0.0019632499
24 , 1098.5973325983573 , 0.014919886 , 0.0036084906
25 , 498.3804834308497 , 0.016279971 , 0.006797088
26 , 380.6725813385754 , 0.00685813 , 0.002228665
27 , 441.41639819638766 , 0.0089480365 , 0.0035503213
28 , 834.7794310449361 , 0.066127636 , 0.002328048
29 , 804.0313273985877 , 0.031982668 , 0.0041367137
30 , 874.7449080398959 , 0.017233422 , 0.0042296904
31 , 380.9905693317555 , 0.025368629 , 0.0027428411
32 , 518.8043543502101 , 0.018663036 , 0.0024813258
33 , 500.3933086204964 , 0.022310903 , 0.0020627812
34 , 825.5181125564897 , 0.012544627 , 0.0006465609
35 , 613.6593764068405 , 0.017963214 , 0.0010868561
36 , 863.6023694399441 , 0.008691014 , 0.0019173201
37 , 884.2539465403117 , 0.00760331 , 0.0012358481
38 , 1150.6662543522925 , 0.017959047 , 0.0061002444
39 , 614.90301263154 , 0.0434828 , 0.0021531093
40 , 869.0308187427057 , 0.02231969 , 0.0013609977
