iteration,average_reward,feedback_rate
1 , -782.089170 , 0.384058
2 , -838.160078 , 0.289720
3 , -502.835965 , 0.630769
4 , -488.737141 , 0.012821
5 , -582.483147 , 0.187500
6 , -555.259783 , 0.556017
7 , -375.448643 , 0.669880
8 , -332.845982 , 0.593625
9 , -344.122973 , 0.720930
10 , -308.224626 , 0.566265
11 , -82.208182 , 0.727273
12 , -8.346049 , 0.554054
13 , -119.350453 , 0.530405
14 , -190.445190 , 0.740458
15 , -314.572027 , 0.734177
16 , -137.151947 , 0.566766
17 , -115.520323 , 0.715152
18 , -98.206961 , 0.769231
19 , -79.563455 , 0.375610
20 , -19.604457 , 0.579832
21 , -117.452195 , 0.647059
22 , -262.266750 , 0.626984
23 , -106.527029 , 0.494048
24 , -200.265666 , 0.148936
25 , -67.624191 , 0.097561
26 , -162.050584 , 0.338462
27 , -113.727129 , 0.690476
28 , -73.215281 , 0.156757
29 , 39.985749 , 0.045752
30 , -124.148070 , 0.359292
31 , -98.453521 , 0.286486
32 , -56.440356 , 0.117117
33 , 64.161524 , 0.285714
34 , -31.646277 , 0.663212
35 , -56.108352 , 0.560345
36 , -107.378059 , 0.156863
37 , -34.575683 , 0.283784
38 , -65.158892 , 0.400000
39 , -154.279812 , 0.363636
40 , -30.976255 , 0.000000
41 , -67.459581 , 0.000000
42 , -121.978510 , 0.000000
43 , -96.231171 , 0.000000
