iteration,average_reward,feedback_rate
1 , -196.200907 , 0.193483
2 , -86.214213 , 0.240326
3 , -154.351241 , 0.083503
4 , -99.675616 , 0.177189
5 , -131.195740 , 0.167006
6 , -105.752696 , 0.152749
7 , -49.373076 , 0.075356
8 , -81.754235 , 0.185336
9 , -103.249201 , 0.140530
10 , -77.255704 , 0.103870
11 , -134.934250 , 0.103870
12 , -82.963261 , 0.075356
13 , -63.406091 , 0.040733
14 , -47.910959 , 0.109980
15 , -64.764357 , 0.063136
16 , -79.171065 , 0.038697
17 , -50.688386 , 0.089613
18 , -44.667373 , 0.010183
