iteration,average_reward,policy_loss,fdm_loss
1 , -134.157757 , 0.552644 , 0.011283
2 , -253.684260 , 0.713524 , 0.007719
3 , -248.341877 , 0.845810 , 0.005529
4 , -244.713228 , 0.850586 , 0.006375
5 , -164.224976 , 0.762394 , 0.006976
6 , -165.227817 , 0.531434 , 0.002281
7 , -238.099876 , 0.487713 , 0.003813
8 , -251.769243 , 0.500657 , 0.008292
9 , -101.500544 , 0.464162 , 0.004504
10 , -194.838121 , 0.509152 , 0.004744
11 , -301.947008 , 0.665129 , 0.004386
12 , -199.353059 , 0.620962 , 0.009452
13 , -298.441413 , 0.638457 , 0.004136
14 , -294.027627 , 0.603082 , 0.003674
15 , -158.697712 , 0.610476 , 0.004731
16 , -243.489450 , 0.467567 , 0.003818
17 , -258.710448 , 0.497688 , 0.003099
18 , -131.077826 , 0.441735 , 0.003855
19 , -235.822813 , 0.472877 , 0.002911
20 , -319.068793 , 0.470748 , 0.003430
21 , -223.199193 , 0.413206 , 0.004290
22 , -256.528840 , 0.443761 , 0.003718
23 , -188.993121 , 0.564493 , 0.002635
24 , -181.377939 , 0.521899 , 0.002663
25 , -165.667339 , 0.517285 , 0.002842
26 , -95.058275 , 0.412322 , 0.001964
27 , -210.411550 , 0.425130 , 0.001418
28 , -182.678230 , 0.579666 , 0.001510
29 , -333.133635 , 0.578226 , 0.002898
30 , -283.240220 , 0.574774 , 0.001439
31 , -560.840828 , 0.607761 , 0.002053
32 , -241.043604 , 0.464117 , 0.002219
33 , -193.425653 , 0.524555 , 0.001563
34 , -195.991854 , 0.434197 , 0.002451
35 , -202.593602 , 0.442262 , 0.001864
36 , -118.245137 , 0.426298 , 0.001680
37 , -207.544855 , 0.443639 , 0.002429
38 , -198.546956 , 0.490633 , 0.002016
39 , -54.732828 , 0.526056 , 0.003385
40 , -188.511450 , 0.480289 , 0.002248
41 , -88.455869 , 0.502999 , 0.001800
42 , -263.586619 , 0.443755 , 0.001536
43 , -132.054652 , 0.498125 , 0.001163
44 , -152.373401 , 0.497455 , 0.002600
45 , -174.737004 , 0.560158 , 0.001184
46 , -450.244403 , 0.454421 , 0.002561
47 , -159.648717 , 0.429270 , 0.002284
48 , -133.946769 , 0.428773 , 0.001193
49 , -256.982934 , 0.436175 , 0.001571
50 , -141.579576 , 0.404086 , 0.001800
