iteration,average_reward,policy_loss,fdm_loss
1 , -84.759601 , 0.000000 , 0.000000
2 , -90.718051 , 0.000000 , 0.000000
3 , -90.827108 , 0.000000 , 0.000000
4 , -97.405379 , 0.000000 , 0.000000
5 , -65.233883 , 0.000000 , 0.000000
6 , -86.896478 , 0.000000 , 0.000000
7 , -90.415400 , 0.000000 , 0.000000
8 , -89.454330 , 0.000000 , 0.000000
9 , -90.039935 , 0.000000 , 0.000000
10 , -133.191811 , 0.000000 , 0.000000
11 , -38.737967 , 0.000000 , 0.000000
12 , -43.577953 , 0.000000 , 0.000000
13 , -76.714603 , 0.000000 , 0.000000
14 , -88.364848 , 0.000000 , 0.000000
15 , -75.805164 , 0.000000 , 0.000000
16 , -58.606695 , 0.000000 , 0.000000
17 , -72.918634 , 0.000000 , 0.000000
18 , -32.172391 , 0.000000 , 0.000000
19 , -37.181746 , 0.000000 , 0.000000
20 , -17.551585 , 0.000000 , 0.000000
21 , -25.630102 , 0.000000 , 0.000000
22 , -27.154921 , 0.000000 , 0.000000
23 , -15.850246 , 0.000000 , 0.000000
