
episode_reward: -121.6FDM train: iteration: 500, fdm_loss: 0.000723
FDM train: iteration: 1000, fdm_loss: 0.000874
FDM train: iteration: 1500, fdm_loss: 0.000418
FDM train: iteration: 2000, fdm_loss: 0.002294
FDM train: iteration: 2500, fdm_loss: 0.004809
FDM train: iteration: 3000, fdm_loss: 0.000506
FDM train: iteration: 3500, fdm_loss: 0.001177
FDM train: iteration: 4000, fdm_loss: 0.000753

Background Trial: 1, reward: -86.16301760163671
Background Trial: 2, reward: -81.00734917947703
Background Trial: 3, reward: -84.8250546959468
Background Trial: 4, reward: -85.72423209023312
Background Trial: 5, reward: -80.73008147796425
Background Trial: 6, reward: -85.6473194101714
Background Trial: 7, reward: -87.38219962843436
Background Trial: 8, reward: -85.05554682696074
Background Trial: 9, reward: -86.30160696165623
Iteration: 1, average_reward: -84.75960087472008, policy_loss: 0.000000, fdm_loss: 0.000000


episode_reward: -92.9FDM train: iteration: 500, fdm_loss: 0.001002
FDM train: iteration: 1000, fdm_loss: 0.005297
FDM train: iteration: 1500, fdm_loss: 0.000824
FDM train: iteration: 2000, fdm_loss: 0.000415
FDM train: iteration: 2500, fdm_loss: 0.004683
FDM train: iteration: 3000, fdm_loss: 0.001741
FDM train: iteration: 3500, fdm_loss: 0.000578
FDM train: iteration: 4000, fdm_loss: 0.004532

Background Trial: 1, reward: -90.96636237914862
Background Trial: 2, reward: -91.31529527980301
Background Trial: 3, reward: -91.30940651166118
Background Trial: 4, reward: -90.5963400047756
Background Trial: 5, reward: -90.30225010345202
Background Trial: 6, reward: -90.31736839219334
Background Trial: 7, reward: -90.29310422661297
Background Trial: 8, reward: -90.47973267760682
Background Trial: 9, reward: -90.88260240117991
Iteration: 2, average_reward: -90.71805133071483, policy_loss: 0.000000, fdm_loss: 0.000000


episode_reward: -67.9FDM train: iteration: 500, fdm_loss: 0.000960
FDM train: iteration: 1000, fdm_loss: 0.000827
FDM train: iteration: 1500, fdm_loss: 0.002481
FDM train: iteration: 2000, fdm_loss: 0.030264
FDM train: iteration: 2500, fdm_loss: 0.000379
FDM train: iteration: 3000, fdm_loss: 0.000428
FDM train: iteration: 3500, fdm_loss: 0.001836
FDM train: iteration: 4000, fdm_loss: 0.007046

Background Trial: 1, reward: -92.35835316909288
