FDM train: iteration: 500, fdm_loss: 0.066470
FDM train: iteration: 1000, fdm_loss: 0.038014
FDM train: iteration: 1500, fdm_loss: 0.014527
FDM train: iteration: 2000, fdm_loss: 0.005371
FDM train: iteration: 2500, fdm_loss: 0.005426
FDM train: iteration: 3000, fdm_loss: 0.005094
FDM train: iteration: 3500, fdm_loss: 0.001466
FDM train: iteration: 4000, fdm_loss: 0.000987
FDM train: iteration: 4500, fdm_loss: 0.001138
FDM train: iteration: 5000, fdm_loss: 0.000775

episode_reward:  16.0
Background Trial: 1, reward: 16.0
Background Trial: 2, reward: 16.0
Background Trial: 3, reward: 16.0
Background Trial: 4, reward: 16.0
Background Trial: 5, reward: 15.0
Background Trial: 6, reward: 15.0
Background Trial: 7, reward: 15.0
Background Trial: 8, reward: 16.0
Background Trial: 9, reward: 16.0
Iteration: 1, average_reward: 15.666666666666666, policy_loss: 0.699978, fdm_loss: 0.001730


episode_reward:  23.0FDM train: iteration: 500, fdm_loss: 0.000709
FDM train: iteration: 1000, fdm_loss: 0.000778
FDM train: iteration: 1500, fdm_loss: 0.000572
FDM train: iteration: 2000, fdm_loss: 0.000686
FDM train: iteration: 2500, fdm_loss: 0.000568
FDM train: iteration: 3000, fdm_loss: 0.000685
FDM train: iteration: 3500, fdm_loss: 0.000383
FDM train: iteration: 4000, fdm_loss: 0.000539
FDM train: iteration: 4500, fdm_loss: 0.000548
FDM train: iteration: 5000, fdm_loss: 0.000346

Background Trial: 1, reward: 15.0
Background Trial: 2, reward: 17.0
Background Trial: 3, reward: 17.0
Background Trial: 4, reward: 15.0
Background Trial: 5, reward: 16.0
Background Trial: 6, reward: 16.0
Background Trial: 7, reward: 16.0
Background Trial: 8, reward: 17.0
Background Trial: 9, reward: 16.0
Iteration: 2, average_reward: 16.11111111111111, policy_loss: 0.683402, fdm_loss: 0.000305


episode_reward:  65.0
Background Trial: 1, reward: 16.0
Background Trial: 2, reward: 16.0
Background Trial: 3, reward: 15.0
Background Trial: 4, reward: 16.0
Background Trial: 5, reward: 15.0
Background Trial: 6, reward: 15.0
Background Trial: 7, reward: 16.0
Background Trial: 8, reward: 16.0
Background Trial: 9, reward: 16.0
Iteration: 3, average_reward: 15.666666666666666, policy_loss: 0.724444, fdm_loss: 0.000473


episode_reward:  47.0FDM train: iteration: 500, fdm_loss: 0.000687
FDM train: iteration: 1000, fdm_loss: 0.000873
FDM train: iteration: 1500, fdm_loss: 0.000813
FDM train: iteration: 2000, fdm_loss: 0.000579
FDM train: iteration: 2500, fdm_loss: 0.000517
FDM train: iteration: 3000, fdm_loss: 0.000549
FDM train: iteration: 3500, fdm_loss: 0.000493
FDM train: iteration: 4000, fdm_loss: 0.000385
FDM train: iteration: 4500, fdm_loss: 0.000284
FDM train: iteration: 5000, fdm_loss: 0.000387

Background Trial: 1, reward: 15.0
Background Trial: 2, reward: 15.0
Background Trial: 3, reward: 15.0
Background Trial: 4, reward: 16.0
Background Trial: 5, reward: 15.0
Background Trial: 6, reward: 16.0
Background Trial: 7, reward: 16.0
Background Trial: 8, reward: 16.0
Background Trial: 9, reward: 16.0
Iteration: 4, average_reward: 15.555555555555555, policy_loss: 0.689031, fdm_loss: 0.000483


episode_reward:  45.0
Background Trial: 1, reward: 16.0
Background Trial: 2, reward: 16.0
Background Trial: 3, reward: 17.0
Background Trial: 4, reward: 16.0
Background Trial: 5, reward: 16.0
Background Trial: 6, reward: 16.0
Background Trial: 7, reward: 16.0
Background Trial: 8, reward: 17.0
Background Trial: 9, reward: 15.0
Iteration: 5, average_reward: 16.11111111111111, policy_loss: 0.676743, fdm_loss: 0.000566


episode_reward:  24.0FDM train: iteration: 500, fdm_loss: 0.000301
FDM train: iteration: 1000, fdm_loss: 0.000697
FDM train: iteration: 1500, fdm_loss: 0.000394
FDM train: iteration: 2000, fdm_loss: 0.000497
FDM train: iteration: 2500, fdm_loss: 0.000810
FDM train: iteration: 3000, fdm_loss: 0.000362
FDM train: iteration: 3500, fdm_loss: 0.000328
FDM train: iteration: 4000, fdm_loss: 0.000440
FDM train: iteration: 4500, fdm_loss: 0.000493
FDM train: iteration: 5000, fdm_loss: 0.000437

Background Trial: 1, reward: 21.0
Background Trial: 2, reward: 23.0
Background Trial: 3, reward: 22.0
Background Trial: 4, reward: 29.0
Background Trial: 5, reward: 25.0
Background Trial: 6, reward: 21.0
Background Trial: 7, reward: 22.0
Background Trial: 8, reward: 22.0
Background Trial: 9, reward: 26.0
Iteration: 6, average_reward: 23.444444444444443, policy_loss: 0.660169, fdm_loss: 0.000620


