iteration,average_reward,policy_loss,fdm_loss
1 , -420.800268 , 0.138520 , 0.000000
2 , 67.447524 , 0.869865 , 0.003406
3 , -21.222293 , 0.817441 , 0.003126
4 , 4.782913 , 0.975283 , 0.002670
5 , 228.955528 , 1.093627 , 0.003962
6 , 27.600736 , 0.684135 , 0.003384
7 , -1.886978 , 0.874527 , 0.002674
8 , -20.635907 , 0.546850 , 0.002545
9 , -2.867762 , 0.491298 , 0.003891
10 , -1.586502 , 0.899740 , 0.004335
11 , -8.393470 , 0.635067 , 0.005343
12 , -30.121811 , 0.571204 , 0.004786
13 , 75.655509 , 0.548431 , 0.003293
14 , 14.959027 , 0.463678 , 0.003383
15 , 36.914361 , 0.477159 , 0.002482
16 , -18.170910 , 0.565344 , 0.003140
17 , 29.217738 , 0.491283 , 0.004748
18 , 11.419428 , 0.645065 , 0.002288
19 , -84.215354 , 0.612138 , 0.002720
20 , -35.531438 , 0.408717 , 0.004009
21 , -47.177463 , 0.393545 , 0.003793
22 , 41.488151 , 0.771633 , 0.003443
23 , -13.846103 , 0.631158 , 0.004164
24 , 23.517690 , 0.652186 , 0.004064
25 , -21.663822 , 0.727286 , 0.003572
26 , -128.918055 , 0.576970 , 0.003468
27 , -171.892804 , 0.483944 , 0.003653
28 , -4.256612 , 0.483206 , 0.003514
29 , 58.616407 , 0.517310 , 0.004419
30 , -135.160109 , 0.414210 , 0.004730
31 , -66.697150 , 0.506277 , 0.002836
32 , 65.349202 , 0.522909 , 0.003253
33 , -76.081912 , 0.575482 , 0.005212
