iteration,average_reward,feedback_rate
1 , 15.111111 , 0.000000
2 , 14.666667 , 0.000000
3 , 14.777778 , 0.000000
4 , 14.555556 , 0.000000
5 , 15.000000 , 0.000000
6 , 15.000000 , 0.000000
7 , 14.444444 , 0.000000
8 , 14.777778 , 0.000000
9 , 14.888889 , 0.500000
10 , 14.444444 , 0.000000
11 , 14.666667 , 0.062500
12 , 14.555556 , 0.375000
13 , 14.555556 , 0.421053
14 , 14.555556 , 0.647059
15 , 14.777778 , 0.187500
16 , 14.444444 , 0.745455
17 , 14.888889 , 0.312500
18 , 14.777778 , 0.444444
19 , 43.888889 , 0.352941
20 , 65.000000 , 0.611111
21 , 39.000000 , 0.600000
22 , 15.000000 , 0.375000
23 , 19.888889 , 0.696429
24 , 52.333333 , 0.368421
25 , 60.777778 , 0.550000
26 , 69.333333 , 0.621622
27 , 56.555556 , 0.566667
28 , 16.666667 , 0.235294
29 , 14.888889 , 0.368421
30 , 24.555556 , 0.839286
31 , 17.555556 , 0.745455
32 , 16.111111 , 0.222222
33 , 16.000000 , 0.235294
34 , 21.222222 , 0.523810
35 , 46.444444 , 0.629630
36 , 14.888889 , 0.470588
37 , 15.222222 , 0.421053
38 , 41.555556 , 0.698113
39 , 19.333333 , 0.544118
40 , 45.222222 , 0.450000
41 , 14.777778 , 0.388889
42 , 14.666667 , 0.125000
43 , 34.000000 , 0.774194
44 , 20.777778 , 0.388889
45 , 19.555556 , 0.000000
46 , 20.666667 , 0.421053
47 , 37.111111 , 0.500000
48 , 44.666667 , 0.333333
49 , 39.777778 , 0.571429
50 , 69.333333 , 0.670588
