iteration,average_reward,feedback_rate
1 , -767.942016 , 0.289308
2 , -444.526076 , 0.462585
3 , -218.505673 , 0.475472
4 , -598.415223 , 0.661538
5 , -347.716155 , 0.226858
6 , -205.032771 , 0.529412
7 , -126.557479 , 0.597403
8 , -268.614946 , 0.518828
9 , -240.393420 , 0.593103
10 , -126.947920 , 0.118056
11 , -158.746215 , 0.207317
12 , -53.597172 , 0.268293
13 , -70.101688 , 0.397260
14 , 32.108902 , 0.485149
15 , 19.151359 , 0.141176
16 , -11.470865 , 0.274809
17 , 11.991774 , 0.243902
18 , -1.421956 , 0.439394
19 , 6.425893 , 0.112903
20 , -129.073200 , 0.288660
21 , -766.865407 , 0.298387
22 , -49.344859 , 0.240506
23 , -54.945914 , 0.223022
24 , 12.005366 , 0.431818
25 , 24.422297 , 0.044776
26 , -81.354083 , 0.094675
27 , -34.517061 , 0.022556
28 , -186.397940 , 0.044944
29 , 79.865954 , 0.050987
30 , 122.912609 , 0.027778
31 , -35.562610 , 0.000000
32 , -52.362457 , 0.061290
33 , -9.197921 , 0.000000
34 , 5.814600 , 0.000000
35 , -74.439268 , 0.117647
36 , -36.590194 , 0.342105
37 , -181.337701 , 0.256329
38 , -238.628672 , 0.218391
39 , -81.127397 , 0.555556
40 , -300.213731 , 0.373188
41 , -672.451838 , 0.186335
42 , -426.285551 , 0.131579
43 , -526.074801 , 0.499051
44 , -178.638149 , 0.262009
45 , -351.675998 , 0.454695
46 , -459.948431 , 0.403333
47 , 93.415318 , 0.323575
48 , -12.712808 , 0.017316
49 , -92.705788 , 0.388764
50 , 163.836583 , 0.263789
