iteration,average_reward,feedback_rate
1 , -98.091433 , 0.099796
2 , -34.227088 , 0.099796
3 , -27.603858 , 0.059063
4 , -26.244644 , 0.010695
5 , -25.287678 , 0.033557
6 , -26.304541 , 0.051852
7 , -23.080983 , 0.000000
8 , -22.810061 , 0.000000
9 , -22.773394 , 0.000000
10 , -22.352378 , 0.000000
11 , -22.479995 , 0.000000
12 , -22.470679 , 0.000000
13 , -22.667155 , 0.000000
14 , -23.183308 , 0.000000
15 , -23.033859 , 0.000000
16 , -22.711998 , 0.000000
17 , -22.581752 , 0.000000
18 , -22.810248 , 0.000000
19 , -22.544169 , 0.000000
20 , -22.920715 , 0.000000
21 , -22.844787 , 0.000000
22 , -22.639659 , 0.000000
23 , -23.293259 , 0.000000
24 , -22.480699 , 0.000000
25 , -22.575351 , 0.000000
26 , -22.376819 , 0.000000
27 , -22.314344 , 0.000000
28 , -23.489095 , 0.000000
29 , -22.933839 , 0.000000
30 , -22.639976 , 0.000000
31 , -22.300979 , 0.000000
32 , -22.340422 , 0.000000
33 , -22.783922 , 0.000000
34 , -23.165404 , 0.000000
35 , -22.424625 , 0.000000
36 , -22.479130 , 0.000000
37 , -22.991410 , 0.000000
38 , -23.139442 , 0.000000
39 , -22.538209 , 0.000000
40 , -22.451534 , 0.000000
41 , -22.531410 , 0.000000
42 , -22.544019 , 0.000000
43 , -22.879041 , 0.000000
44 , -22.656322 , 0.000000
45 , -23.272142 , 0.000000
46 , -23.107655 , 0.000000
47 , -22.504226 , 0.000000
48 , -22.605151 , 0.000000
49 , -23.061603 , 0.000000
50 , -22.600730 , 0.000000

