iteration,average_reward,feedback_rate
1 , -210.159117 , 0.483696
2 , -475.089777 , 0.300518
3 , -244.654386 , 0.470199
4 , -195.881036 , 0.193548
5 , -277.091388 , 0.371795
6 , -211.931928 , 0.444444
7 , -152.887659 , 0.500000
8 , -227.276322 , 0.548611
9 , -176.770491 , 0.216000
10 , -126.779298 , 0.375000
11 , -185.624647 , 0.547368
12 , -164.182667 , 0.201923
13 , -183.912639 , 0.584615
14 , -209.570273 , 0.268775
15 , -257.987021 , 0.540541
16 , -202.722579 , 0.281879
17 , -162.272920 , 0.361702
18 , -335.944894 , 0.684086
19 , -247.871544 , 0.568720
20 , -253.212934 , 0.296399
21 , -500.194151 , 0.389503
22 , -261.958555 , 0.345714
23 , -388.852993 , 0.122517
24 , -190.043414 , 0.368056
25 , -341.270191 , 0.217002
26 , -336.656314 , 0.390756
27 , -243.470417 , 0.339207
28 , -313.255881 , 0.252427
29 , -237.136443 , 0.404851
30 , -407.971445 , 0.328841
31 , -252.572663 , 0.317757
32 , -264.155110 , 0.379747
33 , -211.573967 , 0.412214
34 , -244.421020 , 0.560241
35 , -252.161938 , 0.073913
36 , -370.744824 , 0.228228
37 , -128.872942 , 0.133333
38 , -440.559846 , 0.064935
39 , -198.636326 , 0.066092
40 , -208.532744 , 0.131148
41 , -186.538450 , 0.275000
42 , -223.853142 , 0.103659
43 , -247.827573 , 0.266453
44 , -375.152138 , 0.294643
45 , -176.673216 , 0.245007
46 , -186.526762 , 0.179487
47 , -370.152781 , 0.137143
48 , -426.582936 , 0.135838
49 , -300.402629 , 0.354978
50 , -70.200078 , 0.040936
