iteration,average_reward,feedback_rate
1 , -88.904585 , 0.114053
2 , -87.256764 , 0.036660
3 , -35.996647 , 0.075356
4 , -76.442220 , 0.050916
5 , -62.015637 , 0.016293
6 , -91.494798 , 0.034623
7 , -123.177364 , 0.083503
8 , -126.385814 , 0.148676
9 , -99.393341 , 0.279022
10 , -90.762868 , 0.301426
11 , -58.699501 , 0.158859
12 , -67.501339 , 0.246851
13 , -54.607696 , 0.085011
14 , -45.390275 , 0.002212
15 , -44.686871 , 0.000000
16 , -47.485526 , 0.000000
17 , -46.955505 , 0.000000
18 , -47.685484 , 0.000000
19 , -47.846924 , 0.000000
20 , -47.188866 , 0.000000
21 , -47.855275 , 0.000000
22 , -47.854118 , 0.000000
23 , -47.772672 , 0.000000
24 , -47.904477 , 0.000000
25 , -48.300009 , 0.000000
26 , -47.944902 , 0.000000
27 , -47.424351 , 0.000000
28 , -48.267711 , 0.000000
29 , -47.855971 , 0.000000
30 , -48.829628 , 0.000000
31 , -48.759090 , 0.000000
32 , -48.576644 , 0.000000
33 , -48.062266 , 0.000000
34 , -47.931382 , 0.000000
35 , -48.424111 , 0.000000
36 , -47.314062 , 0.000000
37 , -48.428691 , 0.000000
38 , -48.252061 , 0.000000
39 , -47.470639 , 0.000000
40 , -47.143965 , 0.000000
41 , -48.286557 , 0.000000
42 , -47.033743 , 0.000000
43 , -47.389566 , 0.000000
44 , -47.405438 , 0.000000
45 , -47.233626 , 0.000000
46 , -47.439884 , 0.000000
47 , -47.413107 , 0.000000
48 , -47.784049 , 0.000000
49 , -48.352123 , 0.000000
50 , -46.950970 , 0.000000

