FDM train: iteration: 500, fdm_loss: 0.033692
FDM train: iteration: 1000, fdm_loss: 0.035989
FDM train: iteration: 1500, fdm_loss: 0.031924
FDM train: iteration: 2000, fdm_loss: 0.028215
FDM train: iteration: 2500, fdm_loss: 0.018556
FDM train: iteration: 3000, fdm_loss: 0.006682
FDM train: iteration: 3500, fdm_loss: 0.004174
FDM train: iteration: 4000, fdm_loss: 0.002686
FDM train: iteration: 4500, fdm_loss: 0.001807
FDM train: iteration: 5000, fdm_loss: 0.003020
FDM train: iteration: 5500, fdm_loss: 0.001322
FDM train: iteration: 6000, fdm_loss: 0.000663
FDM train: iteration: 6500, fdm_loss: 0.000352
FDM train: iteration: 7000, fdm_loss: 0.000259
FDM train: iteration: 7500, fdm_loss: 0.000168
FDM train: iteration: 8000, fdm_loss: 0.000282
FDM train: iteration: 8500, fdm_loss: 0.000396
FDM train: iteration: 9000, fdm_loss: 0.000183
FDM train: iteration: 9500, fdm_loss: 0.000195
FDM train: iteration: 10000, fdm_loss: 0.000182
FDM train: iteration: 10500, fdm_loss: 0.000218
FDM train: iteration: 11000, fdm_loss: 0.000247
FDM train: iteration: 11500, fdm_loss: 0.000229
FDM train: iteration: 12000, fdm_loss: 0.000168
FDM train: iteration: 12500, fdm_loss: 0.000191
FDM train: iteration: 13000, fdm_loss: 0.000259
FDM train: iteration: 13500, fdm_loss: 0.000272
FDM train: iteration: 14000, fdm_loss: 0.000232
FDM train: iteration: 14500, fdm_loss: 0.000203
FDM train: iteration: 15000, fdm_loss: 0.000338
FDM train: iteration: 15500, fdm_loss: 0.000161
FDM train: iteration: 16000, fdm_loss: 0.000193
FDM train: iteration: 16500, fdm_loss: 0.000236
FDM train: iteration: 17000, fdm_loss: 0.000202
FDM train: iteration: 17500, fdm_loss: 0.000175
FDM train: iteration: 18000, fdm_loss: 0.000165
FDM train: iteration: 18500, fdm_loss: 0.000144
FDM train: iteration: 19000, fdm_loss: 0.000312
FDM train: iteration: 19500, fdm_loss: 0.000243
FDM train: iteration: 20000, fdm_loss: 0.000177
FDM train: iteration: 20500, fdm_loss: 0.000223
FDM train: iteration: 21000, fdm_loss: 0.000204
FDM train: iteration: 21500, fdm_loss: 0.000144
FDM train: iteration: 22000, fdm_loss: 0.000205
FDM train: iteration: 22500, fdm_loss: 0.000102
FDM train: iteration: 23000, fdm_loss: 0.000082
FDM train: iteration: 23500, fdm_loss: 0.000133
FDM train: iteration: 24000, fdm_loss: 0.000151
FDM train: iteration: 24500, fdm_loss: 0.000095
FDM train: iteration: 25000, fdm_loss: 0.000157
FDM train: iteration: 25500, fdm_loss: 0.000093
FDM train: iteration: 26000, fdm_loss: 0.000054
FDM train: iteration: 26500, fdm_loss: 0.000080
FDM train: iteration: 27000, fdm_loss: 0.000058
FDM train: iteration: 27500, fdm_loss: 0.000051
FDM train: iteration: 28000, fdm_loss: 0.000041
FDM train: iteration: 28500, fdm_loss: 0.000057
FDM train: iteration: 29000, fdm_loss: 0.000100
FDM train: iteration: 29500, fdm_loss: 0.000093
FDM train: iteration: 30000, fdm_loss: 0.000023
FDM train: iteration: 30500, fdm_loss: 0.000125
FDM train: iteration: 31000, fdm_loss: 0.000049
FDM train: iteration: 31500, fdm_loss: 0.000040
FDM train: iteration: 32000, fdm_loss: 0.000142
FDM train: iteration: 32500, fdm_loss: 0.000039
FDM train: iteration: 33000, fdm_loss: 0.000043
FDM train: iteration: 33500, fdm_loss: 0.000029
FDM train: iteration: 34000, fdm_loss: 0.000087
FDM train: iteration: 34500, fdm_loss: 0.000051
FDM train: iteration: 35000, fdm_loss: 0.000031
FDM train: iteration: 35500, fdm_loss: 0.000082
FDM train: iteration: 36000, fdm_loss: 0.000036
FDM train: iteration: 36500, fdm_loss: 0.000037
FDM train: iteration: 37000, fdm_loss: 0.000056
FDM train: iteration: 37500, fdm_loss: 0.000115
FDM train: iteration: 38000, fdm_loss: 0.000032
FDM train: iteration: 38500, fdm_loss: 0.000029
FDM train: iteration: 39000, fdm_loss: 0.000047
FDM train: iteration: 39500, fdm_loss: 0.000080
FDM train: iteration: 40000, fdm_loss: 0.000117
Policy train: iteration: 500, policy_loss: 0.045173
Policy train: iteration: 1000, policy_loss: 0.019992
Policy train: iteration: 1500, policy_loss: 0.031308
Policy train: iteration: 2000, policy_loss: 0.011275
Policy train: iteration: 2500, policy_loss: 0.009253
Policy train: iteration: 3000, policy_loss: 0.009412
Policy train: iteration: 3500, policy_loss: 0.064545
Policy train: iteration: 4000, policy_loss: 0.010030
Policy train: iteration: 4500, policy_loss: 0.009409
Policy train: iteration: 5000, policy_loss: 0.003285
Policy train: iteration: 5500, policy_loss: 0.051495
Policy train: iteration: 6000, policy_loss: 0.005137
Policy train: iteration: 6500, policy_loss: 0.001065
Policy train: iteration: 7000, policy_loss: 0.007518
Policy train: iteration: 7500, policy_loss: 0.066749
Policy train: iteration: 8000, policy_loss: 0.034497
Policy train: iteration: 8500, policy_loss: 0.020717
Policy train: iteration: 9000, policy_loss: 0.008332
Policy train: iteration: 9500, policy_loss: 0.002013
Policy train: iteration: 10000, policy_loss: 0.051314
Policy train: iteration: 10500, policy_loss: 0.002135
Policy train: iteration: 11000, policy_loss: 0.001177
Policy train: iteration: 11500, policy_loss: 0.031253
Policy train: iteration: 12000, policy_loss: 0.005016
Policy train: iteration: 12500, policy_loss: 0.002638
Policy train: iteration: 13000, policy_loss: 0.035515
Policy train: iteration: 13500, policy_loss: 0.041658
Policy train: iteration: 14000, policy_loss: 0.000402
Policy train: iteration: 14500, policy_loss: 0.000144
Policy train: iteration: 15000, policy_loss: 0.036902
