iteration,average_reward,policy_loss,fdm_loss
1 , -689.371536 , 0.000000 , 0.000000
2 , -189.478732 , 0.000000 , 0.000000
3 , 23.766098 , 0.000000 , 0.000000
4 , 53.059565 , 0.000000 , 0.000000
5 , 50.710156 , 0.000000 , 0.000000
6 , -23.262756 , 0.000000 , 0.000000
7 , 65.093542 , 0.000000 , 0.000000
8 , 49.733281 , 0.000000 , 0.000000
9 , 168.413225 , 0.000000 , 0.000000
10 , 76.078278 , 0.000000 , 0.000000
11 , 115.072314 , 0.000000 , 0.000000
12 , 125.843029 , 0.000000 , 0.000000
13 , 137.398725 , 0.000000 , 0.000000
14 , 46.076554 , 0.000000 , 0.000000
15 , 174.459190 , 0.000000 , 0.000000
16 , 119.950986 , 0.000000 , 0.000000
17 , 207.173887 , 0.000000 , 0.000000
18 , 165.303217 , 0.000000 , 0.000000
19 , 229.365911 , 0.000000 , 0.000000
20 , 268.275015 , 0.000000 , 0.000000
21 , 196.975318 , 0.000000 , 0.000000
22 , 265.033671 , 0.000000 , 0.000000
23 , 205.935641 , 0.000000 , 0.000000
24 , 226.804735 , 0.000000 , 0.000000
25 , 185.437248 , 0.000000 , 0.000000
26 , 242.314319 , 0.000000 , 0.000000
27 , 208.377576 , 0.000000 , 0.000000
28 , 236.594890 , 0.000000 , 0.000000
29 , 214.100703 , 0.000000 , 0.000000
30 , 248.510241 , 0.000000 , 0.000000
31 , 238.432666 , 0.000000 , 0.000000
32 , 224.926637 , 0.000000 , 0.000000
33 , 228.751642 , 0.000000 , 0.000000
34 , 241.781767 , 0.000000 , 0.000000
35 , 235.761317 , 0.000000 , 0.000000
36 , 251.368095 , 0.000000 , 0.000000
37 , 238.846581 , 0.000000 , 0.000000
38 , 212.351716 , 0.000000 , 0.000000
39 , 210.585846 , 0.000000 , 0.000000
40 , 226.369644 , 0.000000 , 0.000000
41 , 242.604688 , 0.000000 , 0.000000
42 , 250.178919 , 0.000000 , 0.000000
43 , 220.602836 , 0.000000 , 0.000000
44 , 183.259794 , 0.000000 , 0.000000
45 , 183.886528 , 0.000000 , 0.000000
46 , 211.942446 , 0.000000 , 0.000000
47 , 244.737524 , 0.000000 , 0.000000
48 , 217.883389 , 0.000000 , 0.000000
49 , 254.647672 , 0.000000 , 0.000000
50 , 258.412391 , 0.000000 , 0.000000
