iteration,average_reward,policy_loss,fdm_loss
1 , -50.313666 , 0.000000 , 0.000000
2 , -14.926811 , 0.000000 , 0.000000
3 , -14.048489 , 0.000000 , 0.000000
4 , -13.559501 , 0.000000 , 0.000000
5 , -13.577378 , 0.000000 , 0.000000
6 , -13.461873 , 0.000000 , 0.000000
7 , -13.203987 , 0.000000 , 0.000000
8 , -15.094220 , 0.000000 , 0.000000
9 , -14.951440 , 0.000000 , 0.000000
10 , -14.906039 , 0.000000 , 0.000000
11 , -14.915816 , 0.000000 , 0.000000
12 , -15.820098 , 0.000000 , 0.000000
13 , -12.883772 , 0.000000 , 0.000000
14 , -11.194885 , 0.000000 , 0.000000
15 , -11.323978 , 0.000000 , 0.000000
16 , -11.299791 , 0.000000 , 0.000000
17 , -11.866892 , 0.000000 , 0.000000
18 , -11.162550 , 0.000000 , 0.000000
19 , -11.107286 , 0.000000 , 0.000000
20 , -11.096322 , 0.000000 , 0.000000
