iteration,average_reward,policy_loss,fdm_loss
1 , -327.452746 , 0.385263 , 0.009949
2 , -465.567731 , 0.570288 , 0.006276
3 , -397.701097 , 0.605777 , 0.010791
4 , -309.194524 , 0.629402 , 0.008171
5 , -501.841380 , 0.635924 , 0.004908
6 , -68.430273 , 0.518426 , 0.007393
7 , -207.369611 , 0.590217 , 0.007909
8 , -107.650672 , 0.326926 , 0.005621
9 , -159.827741 , 0.305025 , 0.003627
10 , -119.885399 , 0.385825 , 0.003260
11 , -190.190599 , 0.366601 , 0.004851
12 , -251.397617 , 0.368745 , 0.003889
13 , -123.703796 , 0.377392 , 0.006842
14 , -115.524720 , 0.368300 , 0.005238
15 , -26.873203 , 0.501000 , 0.002458
16 , -101.992658 , 0.490208 , 0.004581
17 , -46.352948 , 0.461536 , 0.002940
18 , -87.682137 , 0.575531 , 0.002777
19 , -37.851038 , 0.600886 , 0.005412
20 , -221.828121 , 0.544834 , 0.003044
21 , 85.819403 , 0.542813 , 0.001739
22 , 29.181963 , 0.622774 , 0.003430
23 , -44.396491 , 0.520739 , 0.002052
24 , -17.380730 , 0.783584 , 0.003735
25 , -80.462024 , 0.655508 , 0.004736
