iteration,average_reward,policy_loss,fdm_loss
1 , -49.990937 , 0.006689 , 0.179266
2 , -21.970835 , 0.009880 , 0.001353
3 , -21.534484 , 0.009542 , 0.102582
4 , -21.208334 , 0.011836 , 0.000788
5 , -17.689162 , 0.011604 , 0.000748
6 , -17.420650 , 0.014844 , 0.000522
7 , -15.198277 , 0.017493 , 0.022938
8 , -14.997130 , 0.016323 , 0.004558
9 , -13.112046 , 0.020046 , 0.001103
10 , -14.337745 , 0.017774 , 0.001154
11 , -15.004966 , 0.018495 , 0.001151
12 , -13.075471 , 0.019437 , 0.000325
13 , -11.302363 , 0.021257 , 0.001671
14 , -10.285673 , 0.020387 , 0.000287
15 , -9.897904 , 0.020607 , 0.000664
16 , -12.150827 , 0.018297 , 0.000791
