iteration,average_reward,policy_loss,fdm_loss
1 , -118.719553 , 0.509839 , 0.009409
2 , -160.889749 , 0.439980 , 0.005777
3 , -241.878632 , 0.530889 , 0.008846
4 , 80.291414 , 0.477574 , 0.006769
5 , 35.873523 , 0.487660 , 0.002851
6 , 141.226482 , 0.377613 , 0.005351
7 , 124.547478 , 0.391099 , 0.004628
8 , 243.200844 , 0.586743 , 0.004333
9 , 77.480927 , 0.607656 , 0.005547
10 , 226.686301 , 0.875221 , 0.004536
11 , 254.198316 , 0.844961 , 0.002201
12 , 241.192813 , 0.909451 , 0.005503
13 , 224.277098 , 0.960845 , 0.006438
14 , 246.030355 , 0.520469 , 0.003211
15 , 222.113181 , 0.557163 , 0.005403
16 , 249.805701 , 0.505206 , 0.004229
1 , 253.337689 , 0.753673 , 0.000000
2 , 262.060791 , 0.666783 , 0.000000
3 , 224.751435 , 0.749819 , 0.000000
4 , 220.027976 , 0.731873 , 0.000000
5 , 216.844285 , 0.770646 , 0.000000
6 , 232.753456 , 0.723492 , 0.000000
7 , 209.720158 , 0.731227 , 0.000000
8 , 191.422939 , 0.708522 , 0.000000
9 , 242.056088 , 0.743691 , 0.000000
10 , 254.458638 , 0.757125 , 0.000000
11 , 216.940418 , 0.686355 , 0.000000
12 , 266.877556 , 0.702865 , 0.000000
13 , 258.682391 , 0.688734 , 0.000000
14 , 224.387992 , 0.713368 , 0.000000
15 , 221.284594 , 0.724736 , 0.000000
16 , 222.930276 , 0.725513 , 0.000000
17 , 246.710402 , 0.776028 , 0.000000
18 , 252.490168 , 0.746997 , 0.000000
19 , 247.528228 , 0.730440 , 0.000000
20 , 247.377154 , 0.703148 , 0.000000
21 , 221.496506 , 0.736445 , 0.000000
22 , 244.099424 , 0.762429 , 0.000000
23 , 218.336718 , 0.757514 , 0.000000
24 , 250.615311 , 0.718206 , 0.000000
25 , 216.996721 , 0.768349 , 0.000000
26 , 210.130920 , 0.746434 , 0.000000
27 , 253.928498 , 0.695485 , 0.000000
28 , 250.132150 , 0.659711 , 0.000000
29 , 215.317220 , 0.777240 , 0.000000
30 , 248.026123 , 0.774168 , 0.000000
31 , 230.109662 , 0.717406 , 0.000000
32 , 248.470788 , 0.750841 , 0.000000
33 , 194.405889 , 0.771851 , 0.000000
