iteration,average_reward,policy_loss,fdm_loss
1 , -472.011038 , 0.586316 , 0.001940
2 , -258.859356 , 0.513227 , 0.002400
3 , -238.132130 , 0.524323 , 0.003021
4 , -132.401508 , 0.608705 , 0.002611
5 , -352.469916 , 0.692081 , 0.001996
6 , -272.747222 , 0.639245 , 0.000892
7 , -227.440978 , 0.626186 , 0.001917
8 , -319.425328 , 0.718726 , 0.001371
9 , -138.303543 , 0.710357 , 0.001286
10 , -211.087942 , 0.531246 , 0.000991
11 , 196.847198 , 0.687625 , 0.001215
12 , 238.799733 , 0.694660 , 0.001471
13 , -17.539240 , 0.693705 , 0.001313
14 , 221.974232 , 0.600253 , 0.001492
15 , 164.510696 , 0.584953 , 0.001886
16 , 234.722948 , 0.735854 , 0.002599
17 , 178.271766 , 0.691877 , 0.002188
18 , 229.617588 , 0.713276 , 0.002811
19 , 217.449294 , 0.718118 , 0.001430
20 , 152.507425 , 0.687364 , 0.001322
21 , 236.321246 , 0.774865 , 0.002168
22 , 190.918237 , 0.680128 , 0.001984
23 , 231.852917 , 0.803325 , 0.001902
24 , 165.566490 , 0.789196 , 0.001494
25 , 241.617623 , 0.681567 , 0.001889
26 , 243.319221 , 0.666065 , 0.001579
27 , 244.754375 , 0.691623 , 0.001619
28 , 259.861276 , 0.739574 , 0.002254
29 , 245.791614 , 0.705949 , 0.001548
30 , 245.742242 , 0.734972 , 0.002900
31 , 240.770517 , 0.750786 , 0.002538
32 , 171.087234 , 0.680361 , 0.001498
33 , 250.250464 , 0.697224 , 0.001484
1 , 252.477658 , 0.753672 , 0.000000
2 , 142.344689 , 0.722893 , 0.000000
3 , 122.037587 , 0.767471 , 0.000000
4 , 241.047610 , 0.747270 , 0.000000
5 , 254.695308 , 0.761569 , 0.000000
6 , 237.971420 , 0.737744 , 0.000000
7 , 235.345784 , 0.796059 , 0.000000
8 , 238.177905 , 0.747206 , 0.000000
9 , 250.891272 , 0.798001 , 0.000000
10 , 241.564934 , 0.764487 , 0.000000
11 , 249.020203 , 0.708740 , 0.000000
12 , 243.149358 , 0.697158 , 0.000000
13 , 130.480103 , 0.691018 , 0.000000
14 , 241.758835 , 0.736449 , 0.000000
15 , 232.045110 , 0.784238 , 0.000000
16 , 241.618849 , 0.743389 , 0.000000
19 , 254.951922 , 0.755419 , 0.000000
