
episode_reward: -60.8FDM train: iteration: 500, fdm_loss: 0.000082
FDM train: iteration: 1000, fdm_loss: 0.000067
FDM train: iteration: 1500, fdm_loss: 0.000065
FDM train: iteration: 2000, fdm_loss: 0.000044
FDM train: iteration: 2500, fdm_loss: 0.000033
FDM train: iteration: 3000, fdm_loss: 0.000034
FDM train: iteration: 3500, fdm_loss: 0.000043
FDM train: iteration: 4000, fdm_loss: 0.000084
FDM train: iteration: 4500, fdm_loss: 0.000030
FDM train: iteration: 5000, fdm_loss: 0.000046

Background Trial: 1, reward: -95.24869343053155
Background Trial: 2, reward: -96.45301878942416
Background Trial: 3, reward: -96.70156802797347
Background Trial: 4, reward: -94.82618328196476
Background Trial: 5, reward: -95.98505751547776
Background Trial: 6, reward: -99.12504417414175
Background Trial: 7, reward: -95.98726024172495
Background Trial: 8, reward: -96.68447904521672
Background Trial: 9, reward: -98.31810798589567
Iteration: 1, average_reward: -96.59215694359452, policy_loss: 0.000000, fdm_loss: 0.000000


episode_reward: -66.0FDM train: iteration: 500, fdm_loss: 0.000116
FDM train: iteration: 1000, fdm_loss: 0.000115
FDM train: iteration: 1500, fdm_loss: 0.000045
FDM train: iteration: 2000, fdm_loss: 0.000782
FDM train: iteration: 2500, fdm_loss: 0.000112
FDM train: iteration: 3000, fdm_loss: 0.000293
FDM train: iteration: 3500, fdm_loss: 0.000176
FDM train: iteration: 4000, fdm_loss: 0.001074
FDM train: iteration: 4500, fdm_loss: 0.000047
FDM train: iteration: 5000, fdm_loss: 0.000057

Background Trial: 1, reward: -40.97830041380498
Background Trial: 2, reward: -41.101628221211215
Background Trial: 3, reward: -40.451352882420004
Background Trial: 4, reward: -41.180874685720134
Background Trial: 5, reward: -41.0939092844464
Background Trial: 6, reward: -40.76650170959977
Background Trial: 7, reward: -40.45011802036754
Background Trial: 8, reward: -40.65783342960047
Background Trial: 9, reward: -40.58341417649023
Iteration: 2, average_reward: -40.80710364707342, policy_loss: 0.000000, fdm_loss: 0.000000


episode_reward: -37.9FDM train: iteration: 500, fdm_loss: 0.000070
FDM train: iteration: 1000, fdm_loss: 0.000072
FDM train: iteration: 1500, fdm_loss: 0.000060
FDM train: iteration: 2000, fdm_loss: 0.000148
FDM train: iteration: 2500, fdm_loss: 0.000044
FDM train: iteration: 3000, fdm_loss: 0.000339
FDM train: iteration: 3500, fdm_loss: 0.000029
FDM train: iteration: 4000, fdm_loss: 0.000058
FDM train: iteration: 4500, fdm_loss: 0.000089
