Policy train: iteration: 500, policy_loss: 0.001482
Policy train: iteration: 1000, policy_loss: 0.001966
Policy train: iteration: 1500, policy_loss: 0.001773
Policy train: iteration: 2000, policy_loss: 0.001541
Policy train: iteration: 2500, policy_loss: 0.001585
Policy train: iteration: 3000, policy_loss: 0.002071
Policy train: iteration: 3500, policy_loss: 0.000920
Policy train: iteration: 4000, policy_loss: 0.002070
Policy train: iteration: 4500, policy_loss: 0.001658
Policy train: iteration: 5000, policy_loss: 0.001101
Policy train: iteration: 5500, policy_loss: 0.001056
Policy train: iteration: 6000, policy_loss: 0.000813
Policy train: iteration: 6500, policy_loss: 0.000814
Policy train: iteration: 7000, policy_loss: 0.000972
Policy train: iteration: 7500, policy_loss: 0.001044
Policy train: iteration: 8000, policy_loss: 0.000709
Policy train: iteration: 8500, policy_loss: 0.001245
Policy train: iteration: 9000, policy_loss: 0.001022
Policy train: iteration: 9500, policy_loss: 0.001133
Policy train: iteration: 10000, policy_loss: 0.001093
Policy train: iteration: 10500, policy_loss: 0.000956
Policy train: iteration: 11000, policy_loss: 0.001084
Policy train: iteration: 11500, policy_loss: 0.000857
Policy train: iteration: 12000, policy_loss: 0.001059
Policy train: iteration: 12500, policy_loss: 0.000871
Policy train: iteration: 13000, policy_loss: 0.001029
Policy train: iteration: 13500, policy_loss: 0.000991
Policy train: iteration: 14000, policy_loss: 0.001269
Policy train: iteration: 14500, policy_loss: 0.001288
Policy train: iteration: 15000, policy_loss: 0.001319
Policy train: iteration: 15500, policy_loss: 0.000695
Policy train: iteration: 16000, policy_loss: 0.001189

episode_reward: -53.0FDM train: iteration: 500, fdm_loss: 0.000032
FDM train: iteration: 1000, fdm_loss: 0.000031
FDM train: iteration: 1500, fdm_loss: 0.000036
FDM train: iteration: 2000, fdm_loss: 0.000022
FDM train: iteration: 2500, fdm_loss: 0.000034
FDM train: iteration: 3000, fdm_loss: 0.000021
FDM train: iteration: 3500, fdm_loss: 0.000038
FDM train: iteration: 4000, fdm_loss: 0.000085

Background Trial: 1, reward: -49.82679916946053
Background Trial: 2, reward: -49.023753790996174
Background Trial: 3, reward: -51.7457923562028
Background Trial: 4, reward: -50.473285078183835
Background Trial: 5, reward: -49.76207586287504
Background Trial: 6, reward: -49.8880627690444
Background Trial: 7, reward: -49.69897343805323
Background Trial: 8, reward: -50.15221562782141
Background Trial: 9, reward: -52.252033002565945
Iteration: 1, average_reward: -50.31366567724481, policy_loss: 0.000000, fdm_loss: 0.000000


episode_reward: -30.6FDM train: iteration: 500, fdm_loss: 0.000027
FDM train: iteration: 1000, fdm_loss: 0.000024
FDM train: iteration: 1500, fdm_loss: 0.000054
FDM train: iteration: 2000, fdm_loss: 0.000028
FDM train: iteration: 2500, fdm_loss: 0.000022
FDM train: iteration: 3000, fdm_loss: 0.000365
FDM train: iteration: 3500, fdm_loss: 0.000293
FDM train: iteration: 4000, fdm_loss: 0.000205

Background Trial: 1, reward: -14.717393104750908
Background Trial: 2, reward: -14.416097383453579
Background Trial: 3, reward: -15.489576931746596
Background Trial: 4, reward: -14.874769899970207
Background Trial: 5, reward: -14.525331705121774
Background Trial: 6, reward: -14.166143246534952
Background Trial: 7, reward: -15.614318914899936
Background Trial: 8, reward: -15.280473440993354
Background Trial: 9, reward: -15.257193446087854
Iteration: 2, average_reward: -14.92681089706213, policy_loss: 0.000000, fdm_loss: 0.000000


episode_reward: -16.5FDM train: iteration: 500, fdm_loss: 0.000075
FDM train: iteration: 1000, fdm_loss: 0.000020
FDM train: iteration: 1500, fdm_loss: 0.000039
FDM train: iteration: 2000, fdm_loss: 0.000043
FDM train: iteration: 2500, fdm_loss: 0.000060
FDM train: iteration: 3000, fdm_loss: 0.000048
FDM train: iteration: 3500, fdm_loss: 0.000036
FDM train: iteration: 4000, fdm_loss: 0.000026

Background Trial: 1, reward: -13.707145912363108
Background Trial: 2, reward: -15.086336375437247
Background Trial: 3, reward: -14.337082803043707
Background Trial: 4, reward: -13.989533344358238
Background Trial: 5, reward: -13.476132465467307
Background Trial: 6, reward: -14.184321750224072
Background Trial: 7, reward: -13.404338059199304
Background Trial: 8, reward: -14.304379919436206
Background Trial: 9, reward: -13.947130334075782
Iteration: 3, average_reward: -14.048488995956106, policy_loss: 0.000000, fdm_loss: 0.000000


episode_reward: -13.5FDM train: iteration: 500, fdm_loss: 0.000032
FDM train: iteration: 1000, fdm_loss: 0.000018
FDM train: iteration: 1500, fdm_loss: 0.000019
FDM train: iteration: 2000, fdm_loss: 0.000040
FDM train: iteration: 2500, fdm_loss: 0.000012
FDM train: iteration: 3000, fdm_loss: 0.000110
FDM train: iteration: 3500, fdm_loss: 0.000026
FDM train: iteration: 4000, fdm_loss: 0.000017

Background Trial: 1, reward: -14.10366860315981
Background Trial: 2, reward: -13.345200150616066
Background Trial: 3, reward: -13.61548322722533
Background Trial: 4, reward: -14.072024454598685
Background Trial: 5, reward: -13.12933559142978
Background Trial: 6, reward: -13.70918301345372
Background Trial: 7, reward: -13.37676320701612
Background Trial: 8, reward: -14.16156550705747
Background Trial: 9, reward: -12.522286874792997
Iteration: 4, average_reward: -13.55950118103889, policy_loss: 0.000000, fdm_loss: 0.000000


episode_reward: -13.2FDM train: iteration: 500, fdm_loss: 0.000013
FDM train: iteration: 1000, fdm_loss: 0.000018
FDM train: iteration: 1500, fdm_loss: 0.000159
FDM train: iteration: 2000, fdm_loss: 0.000033
FDM train: iteration: 2500, fdm_loss: 0.000062
FDM train: iteration: 3000, fdm_loss: 0.000025
FDM train: iteration: 3500, fdm_loss: 0.000124
FDM train: iteration: 4000, fdm_loss: 0.000071

Background Trial: 1, reward: -13.86082481312137
Background Trial: 2, reward: -14.230703488931121
Background Trial: 3, reward: -13.201295425048864
Background Trial: 4, reward: -14.00165794446784
Background Trial: 5, reward: -13.36168679596073
Background Trial: 6, reward: -13.09473883277526
Background Trial: 7, reward: -13.00748981632464
Background Trial: 8, reward: -13.70537651632647
Background Trial: 9, reward: -13.73263167575392
Iteration: 5, average_reward: -13.57737836763447, policy_loss: 0.000000, fdm_loss: 0.000000


episode_reward: -15.6FDM train: iteration: 500, fdm_loss: 0.000049
FDM train: iteration: 1000, fdm_loss: 0.000007
FDM train: iteration: 1500, fdm_loss: 0.000030
FDM train: iteration: 2000, fdm_loss: 0.000194
FDM train: iteration: 2500, fdm_loss: 0.000050
FDM train: iteration: 3000, fdm_loss: 0.000238
FDM train: iteration: 3500, fdm_loss: 0.000288
FDM train: iteration: 4000, fdm_loss: 0.000072

Background Trial: 1, reward: -13.833866527204254
Background Trial: 2, reward: -13.069680428663466
Background Trial: 3, reward: -13.431272783013874
Background Trial: 4, reward: -13.19687132132572
Background Trial: 5, reward: -13.937945127731991
Background Trial: 6, reward: -13.125261338397232
Background Trial: 7, reward: -13.550621216276689
Background Trial: 8, reward: -13.430024916394899
Background Trial: 9, reward: -13.581309315461592
Iteration: 6, average_reward: -13.461872552718859, policy_loss: 0.000000, fdm_loss: 0.000000


episode_reward:  -0.4FDM train: iteration: 500, fdm_loss: 0.000031
FDM train: iteration: 1000, fdm_loss: 0.000016
FDM train: iteration: 1500, fdm_loss: 0.000011
FDM train: iteration: 2000, fdm_loss: 0.000012
FDM train: iteration: 2500, fdm_loss: 0.000074
FDM train: iteration: 3000, fdm_loss: 0.000058
FDM train: iteration: 3500, fdm_loss: 0.000014
