iteration,reward,average_reward
1 , 233.0 , 233.0
2 , 281.2 , 257.1
3 , -63.8 , 150.1
4 , 255.8 , 176.6
5 , -132.9 , 114.7
6 , 233.2 , 134.4
7 , 165.4 , 138.8
8 , -52.7 , 114.9
9 , 231.6 , 127.9
10 ,  31.1 , 118.2
11 , -26.8 , 105.0
12 , -12.1 ,  95.2
13 , -20.9 ,  86.3
14 ,   5.6 ,  80.5
15 , -88.5 ,  69.3
16 , -183.2 ,  53.5
17 , -332.4 ,  30.8
18 , -186.0 ,  18.8
19 , 260.8 ,  31.5
20 , -249.2 ,  17.5
21 ,  24.7 ,  17.8
22 , 243.4 ,  28.1
23 , 258.2 ,  38.1
24 , -773.8 ,   4.2
25 ,  26.7 ,   5.1
26 , -57.8 ,   2.7
27 , -143.2 ,  -2.7
28 , 225.1 ,   5.4
