FDM train: iteration: 500, fdm_loss: 0.016456
FDM train: iteration: 1000, fdm_loss: 0.008164
FDM train: iteration: 1500, fdm_loss: 0.006700
FDM train: iteration: 2000, fdm_loss: 0.003112
FDM train: iteration: 2500, fdm_loss: 0.001310
FDM train: iteration: 3000, fdm_loss: 0.000589
FDM train: iteration: 3500, fdm_loss: 0.000684
FDM train: iteration: 4000, fdm_loss: 0.000512
FDM train: iteration: 4500, fdm_loss: 0.000555
FDM train: iteration: 5000, fdm_loss: 0.000653
FDM train: iteration: 5500, fdm_loss: 0.000551
FDM train: iteration: 6000, fdm_loss: 0.000467
FDM train: iteration: 6500, fdm_loss: 0.000442
FDM train: iteration: 7000, fdm_loss: 0.000373
FDM train: iteration: 7500, fdm_loss: 0.000350
FDM train: iteration: 8000, fdm_loss: 0.000332
FDM train: iteration: 8500, fdm_loss: 0.000333
FDM train: iteration: 9000, fdm_loss: 0.000092
FDM train: iteration: 9500, fdm_loss: 0.000100
FDM train: iteration: 10000, fdm_loss: 0.000053
FDM train: iteration: 10500, fdm_loss: 0.000073
FDM train: iteration: 11000, fdm_loss: 0.000072
FDM train: iteration: 11500, fdm_loss: 0.000056
FDM train: iteration: 12000, fdm_loss: 0.000045
FDM train: iteration: 12500, fdm_loss: 0.000042
FDM train: iteration: 13000, fdm_loss: 0.000045
FDM train: iteration: 13500, fdm_loss: 0.000101
FDM train: iteration: 14000, fdm_loss: 0.000103
FDM train: iteration: 14500, fdm_loss: 0.000091
FDM train: iteration: 15000, fdm_loss: 0.000057
FDM train: iteration: 15500, fdm_loss: 0.000045
FDM train: iteration: 16000, fdm_loss: 0.000073
FDM train: iteration: 16500, fdm_loss: 0.000063
FDM train: iteration: 17000, fdm_loss: 0.000080
FDM train: iteration: 17500, fdm_loss: 0.000031
FDM train: iteration: 18000, fdm_loss: 0.000034
FDM train: iteration: 18500, fdm_loss: 0.000085
FDM train: iteration: 19000, fdm_loss: 0.000034
FDM train: iteration: 19500, fdm_loss: 0.000083
FDM train: iteration: 20000, fdm_loss: 0.000055
FDM train: iteration: 20500, fdm_loss: 0.000045
FDM train: iteration: 21000, fdm_loss: 0.000070
FDM train: iteration: 21500, fdm_loss: 0.000054
FDM train: iteration: 22000, fdm_loss: 0.000047
FDM train: iteration: 22500, fdm_loss: 0.000068
FDM train: iteration: 23000, fdm_loss: 0.000088
FDM train: iteration: 23500, fdm_loss: 0.000087
FDM train: iteration: 24000, fdm_loss: 0.000040
FDM train: iteration: 24500, fdm_loss: 0.000039
FDM train: iteration: 25000, fdm_loss: 0.000158
FDM train: iteration: 25500, fdm_loss: 0.000038
FDM train: iteration: 26000, fdm_loss: 0.000053
FDM train: iteration: 26500, fdm_loss: 0.000051
FDM train: iteration: 27000, fdm_loss: 0.000062
FDM train: iteration: 27500, fdm_loss: 0.000044
FDM train: iteration: 28000, fdm_loss: 0.000051
FDM train: iteration: 28500, fdm_loss: 0.000027
FDM train: iteration: 29000, fdm_loss: 0.000046
FDM train: iteration: 29500, fdm_loss: 0.000042
FDM train: iteration: 30000, fdm_loss: 0.000041
FDM train: iteration: 30500, fdm_loss: 0.000070
FDM train: iteration: 31000, fdm_loss: 0.000022
FDM train: iteration: 31500, fdm_loss: 0.000037
FDM train: iteration: 32000, fdm_loss: 0.000034

episode_reward:  19.0
Background Trial: 1, reward: 15.0
Background Trial: 2, reward: 14.0
Background Trial: 3, reward: 14.0
Background Trial: 4, reward: 15.0
