iteration,average_reward,feedback_rate
1 , 111.666667 , 0.620253
2 , 89.555556 , 0.702703
3 , 44.444444 , 0.755319
4 , 36.777778 , 0.588235
5 , 22.333333 , 0.618644
6 , 39.777778 , 0.400000
7 , 122.777778 , 0.597015
8 , 200.000000 , 0.646766
9 , 69.888889 , 0.211009
10 , 103.888889 , 0.558140
11 , 182.666667 , 0.594937
12 , 156.111111 , 0.600000
13 , 101.555556 , 0.600000
14 , 21.333333 , 0.357895
15 , 16.111111 , 0.480000
16 , 58.888889 , 0.450000
17 , 122.444444 , 0.674419
18 , 198.000000 , 0.489583
19 , 50.222222 , 0.208955
20 , 14.777778 , 0.476190
21 , 15.888889 , 0.555556
22 , 15.111111 , 0.411765
23 , 15.222222 , 0.312500
24 , 15.666667 , 0.266667
25 , 15.333333 , 0.631579
26 , 14.666667 , 0.650000
27 , 17.000000 , 0.250000
28 , 18.333333 , 0.250000
29 , 27.777778 , 0.388889
30 , 15.777778 , 0.836364
31 , 40.777778 , 0.714286
32 , 42.777778 , 0.872727
33 , 40.000000 , 0.836364
34 , 23.444444 , 0.655172
35 , 30.444444 , 0.294118
36 , 84.777778 , 0.719424
37 , 199.888889 , 0.617647
38 , 200.000000 , 0.000000
