iteration,average_reward,feedback_rate
1 , -1114.531152 , 0.587413
2 , -1233.395503 , 0.616162
3 , -760.616602 , 0.328125
4 , -365.665955 , 0.194521
5 , -817.921052 , 0.467290
6 , -1275.051361 , 0.663043
7 , -797.533034 , 0.432990
8 , -424.159287 , 0.646429
9 , -262.862833 , 0.581967
10 , -312.078661 , 0.855072
11 , -536.110533 , 0.807339
12 , -487.901639 , 0.764957
13 , -344.290458 , 0.519685
14 , -460.341242 , 0.907216
15 , -420.928190 , 0.452632
16 , -360.290393 , 0.721805
17 , -404.105012 , 0.778846
18 , -1178.028419 , 0.804598
19 , -505.381259 , 0.708861
20 , -656.875703 , 0.580645
21 , -437.727810 , 0.661765
22 , -407.561513 , 0.750000
23 , -431.660720 , 0.813187
24 , -338.183906 , 0.695652
25 , -292.132421 , 0.555556
26 , -712.889400 , 0.489362
27 , -506.531547 , 0.642276
28 , -254.369291 , 0.495413
29 , -192.377656 , 0.606383
30 , -742.665736 , 0.585586
31 , -346.232763 , 0.794118
32 , -396.867267 , 0.663366
33 , -274.365377 , 0.671875
34 , -615.463062 , 0.600000
35 , -337.009503 , 0.731225
36 , -699.019834 , 0.520548
37 , -471.157369 , 0.576923
38 , -473.325937 , 0.692073
39 , -365.404211 , 0.611842
40 , -120.119248 , 0.533333
41 , -22.315406 , 0.704348
42 , -236.284335 , 0.378049
43 , -136.314782 , 0.773438
44 , -112.714454 , 0.743961
45 , -320.892324 , 0.164474
46 , -138.391785 , 0.775194
47 , -244.533606 , 0.459184
48 , -136.736655 , 0.305556
49 , -132.529217 , 0.000000
50 , -40.041836 , 0.054422
