iteration,average_reward
1 , -210.050391
2 , -295.786230
3 , -61.436444
4 , 12.533882
5 , 61.926172
6 , 4.463612
7 , -53.050996
8 , 36.507102
9 , 3.800420
10 , 17.522283
11 , 61.670147
12 , -22.728731
13 , 34.231047
14 , 123.121161
15 , 146.826328
16 , 125.711934
17 , 187.500551
18 , 177.739624
19 , 178.691988
20 , 239.146636
21 , 263.420817
22 , 223.081193
23 , 244.019895
24 , 276.266559
25 , 215.628216
26 , 200.226949
27 , 194.559530
28 , 264.594182
29 , 261.282626
30 , 229.083370
31 , 239.616645
32 , 213.643238
33 , 217.913015
34 , 211.095622
35 , 250.236026
36 , 242.641773
37 , 264.794432
38 , 238.720651
39 , 156.700827
40 , 226.051117
41 , 257.519763
42 , 223.703716
43 , 217.092586
44 , 235.477971
45 , 269.395400
46 , 248.975735
47 , 252.649975
48 , 276.148938
49 , 262.098216
50 , 255.576902
