iteration,average_reward
1 , -55.162246
2 , -55.162246
3 , -81.306562
4 , -72.116657
5 , -44.803339
6 , -32.548978
7 , -23.813402
8 , -27.775911
9 , -35.996161
10 , -35.281503
11 , -22.639686
12 , -20.338925
13 , -20.483451
14 , -17.746600
15 , -30.129827
16 , -38.010704
17 , -19.538409
18 , -19.186009
19 , -18.972995
20 , -19.036000
21 , -18.811121
22 , -18.873882
23 , -18.509203
24 , -18.907129
25 , -19.069420
26 , -19.354288
27 , -18.827066
28 , -18.795046
29 , -19.064483
30 , -18.909912
31 , -18.895180
32 , -18.469233
33 , -18.699075
34 , -19.115809
35 , -19.321068
36 , -19.123923
37 , -18.877172
38 , -19.565765
39 , -19.028249
40 , -19.057062
41 , -18.644250
42 , -18.939962
43 , -18.771892
44 , -18.725116
45 , -19.084588
46 , -19.190866
47 , -18.406849
48 , -19.121524
49 , -19.448365
50 , -19.194568
