iteration,average_reward,feedback_rate
1 , -85.247969 , 0.000000
2 , -53.358886 , 0.000000
3 , -74.199776 , 0.000000
4 , -55.704621 , 0.000000
5 , -195.382254 , 0.000000
6 , -161.780272 , 0.000000
7 , -82.363535 , 0.000000
8 , -84.471155 , 0.000000
9 , -65.570898 , 0.000000
10 , -31.877524 , 0.000000
11 , -92.893116 , 0.000000
12 , -98.259749 , 0.000000
13 , -66.955864 , 0.000000
14 , -38.392972 , 0.000000
15 , -45.890250 , 0.000000
16 , -54.571592 , 0.000000
17 , -54.475225 , 0.000000
18 , -47.419604 , 0.000000
19 , -45.069284 , 0.000000
20 , -53.185234 , 0.000000
21 , -48.509124 , 0.000000
22 , -53.675552 , 0.000000
23 , -51.015928 , 0.000000
24 , -49.531501 , 0.000000
25 , -49.918128 , 0.000000
26 , -55.317899 , 0.000000
27 , -56.482401 , 0.000000
28 , -53.562418 , 0.000000
29 , -56.755407 , 0.000000
30 , -46.199901 , 0.000000
31 , -48.948506 , 0.000000
32 , -47.196501 , 0.000000
33 , -43.423468 , 0.000000
34 , -46.992134 , 0.000000
35 , -56.731116 , 0.000000
36 , -47.171792 , 0.000000
37 , -53.825857 , 0.000000
38 , -51.272099 , 0.000000
39 , -53.589015 , 0.000000
40 , -46.019673 , 0.000000
41 , -54.435443 , 0.000000
42 , -55.509133 , 0.000000
43 , -48.123467 , 0.000000
44 , -47.768983 , 0.000000
45 , -50.782903 , 0.000000
46 , -49.352477 , 0.000000
47 , -50.577550 , 0.000000
48 , -58.191095 , 0.000000
49 , -44.817966 , 0.000000
50 , -47.428321 , 0.000000

