iteration,reward,feedback_rate(/sec)
1,-23.928897,0.463923
2,-24.769132,0.563076
3,-20.494211,0.397413
4,-34.384275,0.49684
5,-31.336133,0.56305
6,-28.022934,0.695533
7,-27.590217,0.761804
8,-23.036072,0.298088
9,-17.038893,0
10,-18.260902,0.397831
11,-27.110754,0.529907
12,-20.547785,0.563073
13,-20.681272,0.695469
14,-33.153927,0.662783
15,-17.613207,0.298388
16,-19.479807,0.331496
17,-27.14494,0.165757
18,-29.499964,0.431007
19,-38.340496,1.259894
20,-18.175021,0.530428
21,-29.402453,0.364408
22,-24.738036,0.231843
23,-30.864573,0.132628
24,-24.374977,0.30146
25,-20.156208,0.066297
26,-27.077839,0.165601
27,-18.194659,0
28,-46.774606,0.861103
29,-25.930226,0.331209
30,-43.873524,0.331548
31,-32.613348,0.563627
32,-31.263412,0.629855
33,-17.096719,0.099358
34,-31.48405,0.066263
35,-16.649663,0.06628
36,-23.247978,0.364297
37,-10.152501,0.033119
38,-21.325199,0
39,-25.066666,0.198939
40,-19.734124,0
41,-17.886771,0.232061
42,-21.150411,0.033156
43,-21.148103,0.066304
44,-15.465209,0
45,-18.253975,0.033119
46,-17.630769,0.033153
47,-35.25553,0.331224
48,-17.015961,0.265198
49,-26.294742,0.629405
50,-15.614402,0.264983
51,-26.6883,0.298319
52,-11.805268,0
53,-11.078634,0.066229
54,-11.408129,0.066259
55,-9.740795,0
56,-10.549255,0.331185
57,-7.285916,0.066248
58,-9.502651,0
59,-24.914948,0.364329
60,-23.673097,0.662386
61,-18.864047,0.19874
62,-12.551035,0
63,-12.105483,0
64,-12.866398,0.033122
65,-8.578528,0
66,-12.321174,0
67,-15.230494,0
68,-10.357816,0
69,-10.994512,0
70,-13.98445,0
71,-17.50525,0
72,-17.761874,0.662734
73,-27.516401,0.364465
74,-15.342215,0
75,-13.707858,0
76,-11.839465,0
77,-13.311662,0
78,-15.998732,0
79,-10.603347,0
80,-35.878649,0
81,-9.959373,0
82,-7.75946,0
83,-11.555265,0
84,-28.769841,0.7618
85,-24.803619,0.565515
86,-8.762515,0
87,-8.310226,0
88,-8.139927,0
89,-7.589056,0
90,-7.944492,0
91,-5.885559,0
92,-7.722278,0
93,-6.370537,0
94,-22.007988,0.546673
95,-6.750636,0
96,-6.824032,0.098265
97,-10.424858,0
98,-10.598227,0
99,-8.085271,0
100,-25.345218,0.248217
