iteration,average_reward,feedback_rate
1 , -277.099501 , 0.727941
2 , -225.867483 , 0.409292
3 , -73.024230 , 0.570732
4 , -121.018746 , 0.078261
5 , -319.671511 , 0.655172
6 , -121.397172 , 0.285088
7 , -103.118024 , 0.287671
8 , -165.160820 , 0.201299
9 , -240.877297 , 0.160494
10 , -35.194091 , 0.218130
11 , -217.206658 , 0.152174
12 , -71.186636 , 0.091463
13 , 3.116390 , 0.167939
14 , 28.954953 , 0.113269
15 , 90.032305 , 0.097264
16 , 60.681453 , 0.056075
17 , -2.798413 , 0.122951
18 , 128.553047 , 0.084967
19 , 26.785251 , 0.049133
20 , -384.849935 , 0.094118
21 , 129.336258 , 0.077562
22 , -8.015845 , 0.091398
23 , 136.951965 , 0.302187
24 , 69.084391 , 0.027356
25 , 14.258746 , 0.080357
26 , 173.369904 , 0.102804
27 , 228.392179 , 0.044386
28 , 207.752948 , 0.023569
29 , 190.441394 , 0.016949
30 , 211.077673 , 0.052830
31 , 242.213043 , 0.000000
32 , 244.633184 , 0.000000
33 , 158.393329 , 0.000000
34 , 240.930837 , 0.000000
35 , 228.318496 , 0.000000
36 , 266.096060 , 0.000000
37 , 227.524782 , 0.000000
38 , 195.733897 , 0.000000
39 , 175.438091 , 0.000000
40 , 240.298234 , 0.000000
41 , 219.931291 , 0.000000
42 , 239.144245 , 0.000000
43 , 207.536574 , 0.000000
44 , 185.067832 , 0.000000
45 , 240.808569 , 0.000000
46 , 244.072236 , 0.000000
47 , 203.675620 , 0.000000
48 , 238.921414 , 0.000000
49 , 123.541650 , 0.000000
50 , 222.657626 , 0.000000
