iteration,average_reward,feedback_rate
1 , -122.170098 , 0.067210
2 , -81.257668 , 0.048880
3 , -23.024765 , 0.030550
4 , -21.738883 , 0.000000
5 , -25.077310 , 0.006110
6 , -19.820702 , 0.016293
7 , -26.886672 , 0.004505
8 , -23.210480 , 0.005464
9 , -23.738282 , 0.002732
10 , -22.910718 , 0.000000
11 , -23.606298 , 0.000000
12 , -23.561144 , 0.000000
13 , -23.468297 , 0.000000
14 , -23.002976 , 0.000000
15 , -23.262852 , 0.000000
16 , -23.675203 , 0.000000
17 , -23.375016 , 0.000000
18 , -23.593140 , 0.000000
19 , -23.698041 , 0.000000
20 , -23.368636 , 0.000000
21 , -23.248530 , 0.000000
22 , -23.000699 , 0.000000
23 , -22.974334 , 0.000000
24 , -23.566062 , 0.000000
25 , -23.164616 , 0.000000
26 , -23.626033 , 0.000000
27 , -23.317067 , 0.000000
28 , -23.406352 , 0.000000
29 , -23.324754 , 0.000000
30 , -23.018859 , 0.000000
31 , -23.327073 , 0.000000
32 , -23.244578 , 0.000000
33 , -23.266315 , 0.000000
34 , -23.446257 , 0.000000
35 , -23.417854 , 0.000000
36 , -23.274722 , 0.000000
37 , -23.239255 , 0.000000
38 , -23.419991 , 0.000000
39 , -23.667614 , 0.000000
40 , -23.361053 , 0.000000
41 , -23.252495 , 0.000000
42 , -23.265916 , 0.000000
43 , -23.581645 , 0.000000
44 , -23.266925 , 0.000000
45 , -23.295720 , 0.000000
46 , -23.060907 , 0.000000
47 , -23.009077 , 0.000000
48 , -23.347175 , 0.000000
49 , -23.277941 , 0.000000
50 , -22.902017 , 0.000000
