iteration,average_reward,policy_loss,fdm_loss
1 , -96.592157 , 0.000000 , 0.000000
2 , -40.807104 , 0.000000 , 0.000000
3 , -33.895315 , 0.000000 , 0.000000
4 , -27.800079 , 0.000000 , 0.000000
5 , -14.091733 , 0.000000 , 0.000000
6 , -14.297492 , 0.000000 , 0.000000
7 , -10.963017 , 0.000000 , 0.000000
8 , -12.915097 , 0.000000 , 0.000000
9 , -11.852789 , 0.000000 , 0.000000
10 , -9.955111 , 0.000000 , 0.000000
11 , -11.433096 , 0.000000 , 0.000000
12 , -10.511309 , 0.000000 , 0.000000
13 , -10.123507 , 0.000000 , 0.000000
14 , -9.641400 , 0.000000 , 0.000000
15 , -10.200862 , 0.000000 , 0.000000
16 , -10.014309 , 0.000000 , 0.000000
17 , -9.926926 , 0.000000 , 0.000000
18 , -9.952151 , 0.000000 , 0.000000
19 , -10.027162 , 0.000000 , 0.000000
20 , -9.871785 , 0.000000 , 0.000000
21 , -10.075782 , 0.000000 , 0.000000
22 , -9.844461 , 0.000000 , 0.000000
23 , -9.684551 , 0.000000 , 0.000000
24 , -10.184816 , 0.000000 , 0.000000
