iteration,reward,feedback_rate(/sec)
1 , -39.408121 , 9.957307
2 , -67.424031 , 8.354371
3 , -122.800651 , 0.376937
4 , -124.201449 , 1.909504
5 , -56.080300 , 3.022993
6 , -26.172505 , 2.286000
7 , -30.528675 , 0.382061
8 , -54.451814 , 0.765273
9 , -36.769553 , 1.142072
10 , -31.827661 , 0.765165
11 , -46.097722 , 1.133558
12 , -21.931712 , 1.506124
13 , -62.169124 , 4.207740
14 , -43.829214 , 1.896967
15 , -20.124612 , 1.916306
16 , -11.180340 , 2.298496
17 , -58.180753 , 1.524773
18 , -37.947332 , 3.432480
19 , -45.000000 , 3.801773
20 , -59.033889 , 1.892990
21 , -22.203603 , 2.293835
22 , -33.105891 , 3.059307
23 , -9.219544 , 1.122814
24 , -21.540659 , 0.767524
25 , -104.043260 , 0.767396
26 , -9.219544 , 4.500889
27 , -9.219544 , 0.000000
28 , -12.727922 , 0.377588
29 , -37.202150 , 1.163520
30 , -25.632011 , 1.536753
31 , -49.244289 , 1.152635
32 , -12.529964 , 2.619375
33 , -9.219544 , 1.145186
34 , -12.206556 , 0.380127
35 , -29.206164 , 0.381032
36 , -11.313708 , 1.521372
37 , -21.470911 , 1.513598
38 , -22.472205 , 1.145006
39 , -27.459060 , 2.293583
40 , -22.561028 , 2.258834
41 , -50.596443 , 3.873211
42 , -62.393910 , 4.614370
43 , -16.124515 , 3.056284
44 , -12.369317 , 1.143854
45 , -15.297059 , 1.542805
46 , -17.000000 , 0.000000
47 , -14.866069 , 0.773687
48 , -42.047592 , 1.527383
49 , -10.000000 , 2.018364
50 , -8.944272 , 0.376422
51 , -17.691806 , 0.000000
52 , -26.400758 , 0.000000
53 , -13.601471 , 1.900391
54 , -24.083189 , 0.768548
55 , -37.336309 , 1.958512
56 , -15.132746 , 2.636721
57 , -8.485281 , 0.000000
58 , -8.000000 , 0.754084
59 , -4.472136 , 0.000000
60 , -13.000000 , 0.768727
61 , -35.608988 , 0.000000
62 , -33.615473 , 0.383143
63 , -101.019800 , 1.515720
64 , -23.706539 , 0.382159
65 , -11.180340 , 1.145071
66 , -11.401754 , 0.000000
67 , -9.219544 , 0.000000
68 , -8.062258 , 0.000000
69 , -16.492423 , 0.000000
70 , -94.540996 , 1.133173
71 , -53.712196 , 0.376588
72 , -7.000000 , 1.915604
73 , -22.627417 , 0.000000
74 , -24.738634 , 0.000000
75 , -24.000000 , 0.767683
76 , -49.729267 , 1.929913
77 , -53.851648 , 3.435685
78 , -42.201896 , 1.525041
79 , -24.413111 , 2.287086
80 , -56.639209 , 1.111559
81 , -16.124515 , 3.074686
82 , -12.000000 , 0.000000
83 , -16.970563 , 0.000000
84 , -14.000000 , 0.000000
85 , -16.124515 , 1.074686
86 , -12.000000 , 0.000000
87 , -16.970563 , 0.000000
88 , -14.000000 , 0.000000
89 , -16.124515 , 6.074686
90 , -12.000000 , 0.000000
