FDM train: iteration: 500, fdm_loss: 0.024116
FDM train: iteration: 1000, fdm_loss: 0.024257
FDM train: iteration: 1500, fdm_loss: 0.022233
FDM train: iteration: 2000, fdm_loss: 0.014636
FDM train: iteration: 2500, fdm_loss: 0.014457
FDM train: iteration: 3000, fdm_loss: 0.003856
FDM train: iteration: 3500, fdm_loss: 0.003062
FDM train: iteration: 4000, fdm_loss: 0.002470
FDM train: iteration: 4500, fdm_loss: 0.001689
FDM train: iteration: 5000, fdm_loss: 0.001602

episode_reward: 111.0
Background Trial: 1, reward: 24.0
Background Trial: 2, reward: 22.0
Background Trial: 3, reward: 23.0
Background Trial: 4, reward: 25.0
Background Trial: 5, reward: 23.0
Background Trial: 6, reward: 23.0
Background Trial: 7, reward: 23.0
Background Trial: 8, reward: 23.0
Background Trial: 9, reward: 24.0
Iteration: 1, average_reward: 23.333333333333332, policy_loss: 0.697023, fdm_loss: 0.150871


episode_reward: 192.0FDM train: iteration: 500, fdm_loss: 0.005765
FDM train: iteration: 1000, fdm_loss: 0.003765
FDM train: iteration: 1500, fdm_loss: 0.001310
FDM train: iteration: 2000, fdm_loss: 0.001373
FDM train: iteration: 2500, fdm_loss: 0.000969
FDM train: iteration: 3000, fdm_loss: 0.000643
FDM train: iteration: 3500, fdm_loss: 0.000870
FDM train: iteration: 4000, fdm_loss: 0.000661
FDM train: iteration: 4500, fdm_loss: 0.000433
FDM train: iteration: 5000, fdm_loss: 0.000437

Background Trial: 1, reward: 111.0
Background Trial: 2, reward: 117.0
Background Trial: 3, reward: 158.0
Background Trial: 4, reward: 143.0
Background Trial: 5, reward: 148.0
Background Trial: 6, reward: 126.0
Background Trial: 7, reward: 115.0
Background Trial: 8, reward: 166.0
Background Trial: 9, reward: 123.0
Iteration: 2, average_reward: 134.11111111111111, policy_loss: 1.018845, fdm_loss: 0.000744


episode_reward: 200.0
Background Trial: 1, reward: 200.0
Background Trial: 2, reward: 166.0
Background Trial: 3, reward: 166.0
Background Trial: 4, reward: 200.0
Background Trial: 5, reward: 165.0
Background Trial: 6, reward: 200.0
Background Trial: 7, reward: 142.0
Background Trial: 8, reward: 177.0
Background Trial: 9, reward: 152.0
Iteration: 3, average_reward: 174.22222222222223, policy_loss: 2.507231, fdm_loss: 0.000411


episode_reward: 200.0FDM train: iteration: 500, fdm_loss: 0.000494
FDM train: iteration: 1000, fdm_loss: 0.000423
FDM train: iteration: 1500, fdm_loss: 0.000542
FDM train: iteration: 2000, fdm_loss: 0.000331
FDM train: iteration: 2500, fdm_loss: 0.000493
FDM train: iteration: 3000, fdm_loss: 0.000213
FDM train: iteration: 3500, fdm_loss: 0.000357
FDM train: iteration: 4000, fdm_loss: 0.000306
FDM train: iteration: 4500, fdm_loss: 0.000429
FDM train: iteration: 5000, fdm_loss: 0.000339

Background Trial: 1, reward: 156.0
Background Trial: 2, reward: 200.0
Background Trial: 3, reward: 151.0
Background Trial: 4, reward: 200.0
Background Trial: 5, reward: 173.0
Background Trial: 6, reward: 200.0
