iteration,average_reward,policy_loss,fdm_loss
1 , 142.333333 , 0.511706 , 0.030468
2 , 191.111111 , 0.923724 , 0.000074
3 , 110.111111 , 0.922743 , 0.000179
4 , 16.222222 , 0.921153 , 0.000275
5 , 16.111111 , 0.999454 , 0.000295
6 , 17.666667 , 0.828293 , 0.000059
7 , 60.000000 , 0.636377 , 0.000144
8 , 155.111111 , 0.689974 , 0.000089
9 , 125.888889 , 0.698926 , 0.000095
10 , 85.777778 , 0.661921 , 0.000145
11 , 186.000000 , 0.619184 , 0.000119
12 , 200.000000 , 0.730952 , 0.000066
13 , 185.111111 , 0.752927 , 0.000083
14 , 170.666667 , 0.873034 , 0.000060
15 , 138.222222 , 0.938839 , 0.000048
16 , 200.000000 , 0.775071 , 0.000032
17 , 180.222222 , 0.857832 , 0.000030
18 , 68.555556 , 0.813480 , 0.000015
19 , 187.333333 , 0.794089 , 0.000020
20 , 200.000000 , 0.725282 , 0.000028
21 , 200.000000 , 0.738522 , 0.000047
22 , 200.000000 , 0.674028 , 0.000025
