iteration,average_reward,policy_loss,fdm_loss
1 , -359.424282 , 0.541011 , 0.013045
2 , -282.041655 , 0.541104 , 0.007080
3 , -594.415361 , 0.648066 , 0.012194
4 , -321.134841 , 0.549967 , 0.006212
5 , -72.263431 , 0.712169 , 0.007770
6 , -461.927602 , 0.813744 , 0.011281
7 , -309.157090 , 0.710864 , 0.008549
8 , -97.646277 , 0.755434 , 0.005662
9 , -128.456874 , 0.665853 , 0.013209
10 , -61.941465 , 0.675791 , 0.010561
11 , -188.829092 , 0.586297 , 0.008064
12 , -165.539412 , 0.623985 , 0.008963
13 , -68.046436 , 0.597378 , 0.005647
14 , -43.252956 , 0.613316 , 0.008429
15 , -102.514460 , 0.586163 , 0.005676
16 , -71.487175 , 0.589866 , 0.008760
17 , -157.619032 , 0.617282 , 0.005813
18 , -41.891951 , 0.553104 , 0.008654
19 , -148.632107 , 0.514388 , 0.009419
20 , -80.018649 , 0.744743 , 0.010909
21 , -62.202694 , 0.649050 , 0.010597
22 , -165.546958 , 0.531192 , 0.010289
23 , -239.762287 , 0.507468 , 0.008100
24 , -76.486665 , 0.552324 , 0.004703
25 , -145.202435 , 0.544443 , 0.009851
26 , -45.739124 , 0.594877 , 0.007028
27 , -112.775249 , 0.609600 , 0.004435
28 , -195.075660 , 0.566750 , 0.009094
29 , -63.410133 , 0.563166 , 0.008446
30 , -141.150595 , 0.570077 , 0.004774
