iteration,average_reward,policy_loss,fdm_loss
1 , -121.046150 , 0.981489 , 0.003481
2 , -43.374491 , 0.984760 , 0.006944
3 , -283.987759 , 0.826421 , 0.006816
4 , -324.098451 , 0.757948 , 0.005040
5 , -237.299835 , 0.607963 , 0.006044
6 , -214.253664 , 0.739056 , 0.008691
7 , -228.935425 , 0.694268 , 0.007495
8 , -294.615422 , 0.662961 , 0.007049
9 , -153.004172 , 0.583826 , 0.008771
10 , -187.782877 , 0.675113 , 0.003630
11 , -143.892713 , 0.692329 , 0.006254
12 , -211.271108 , 0.625347 , 0.007350
13 , -207.658499 , 0.673667 , 0.003862
14 , -245.523712 , 0.631126 , 0.002262
15 , -64.792738 , 0.687038 , 0.002891
16 , -429.538981 , 0.510104 , 0.003737
17 , 43.691260 , 0.595579 , 0.002587
18 , -62.339008 , 0.616298 , 0.004874
19 , -26.903041 , 0.680376 , 0.008160
20 , 24.428870 , 0.691825 , 0.002322
21 , 17.286521 , 0.794264 , 0.003654
22 , -55.170938 , 0.568135 , 0.003575
23 , -81.294147 , 0.549458 , 0.003690
24 , 142.223209 , 0.508262 , 0.002222
25 , -20.685573 , 0.689641 , 0.003876
26 , -20.235150 , 0.536698 , 0.002378
27 , 30.514235 , 0.501917 , 0.002576
28 , -39.090410 , 0.464410 , 0.002714
29 , 55.249858 , 0.485099 , 0.006260
30 , -17.737792 , 0.579856 , 0.004337
31 , -99.249921 , 0.493012 , 0.003419
32 , -564.660579 , 0.780285 , 0.003770
33 , -27.699002 , 0.621708 , 0.004165
34 , 9.314750 , 0.559479 , 0.003297
35 , 97.228090 , 0.554115 , 0.003489
36 , 20.245197 , 0.467399 , 0.004700
37 , 43.390143 , 0.473355 , 0.004799
38 , 85.940650 , 0.570557 , 0.004120
39 , 109.581468 , 0.533705 , 0.003678
40 , 50.603726 , 0.568329 , 0.005057
41 , -69.627031 , 0.597598 , 0.004109
42 , -76.704503 , 0.504899 , 0.003923
43 , 66.873455 , 0.547673 , 0.005070
44 , 129.844280 , 0.476873 , 0.005490
45 , -34.211300 , 0.521799 , 0.003906
46 , -39.659213 , 0.560597 , 0.004687
47 , -7.007607 , 0.583958 , 0.004319
48 , -2.591559 , 0.804660 , 0.004937
49 , -5.765371 , 0.589967 , 0.003720
50 , -253.768688 , 0.564991 , 0.003687
