iteration,average_reward,policy_loss,fdm_loss
1 , -401.158728 , 0.415956 , 0.009227
2 , -342.057334 , 0.866926 , 0.000487
3 , -280.360076 , 1.040115 , 0.002390
4 , -294.643674 , 0.708555 , 0.000560
5 , -129.030552 , 0.675475 , 0.000842
6 , -16.613150 , 0.834093 , 0.003176
7 , -147.789819 , 0.713100 , 0.003018
8 , -174.202722 , 0.697979 , 0.006110
9 , -34.739362 , 0.640820 , 0.008904
10 , -107.507363 , 0.809183 , 0.005981
11 , 13.752360 , 0.726910 , 0.006696
12 , -16.174423 , 0.731934 , 0.005848
13 , 40.432019 , 0.674297 , 0.005724
14 , 107.179730 , 0.963589 , 0.005345
15 , -30.397541 , 0.905869 , 0.005769
16 , 11.582508 , 0.957113 , 0.004799
17 , -79.633292 , 0.965033 , 0.003984
